// MAR strings block 1C0000
// One record per line: @<rom offset> <text>
// <XX> is a raw control byte. Text is re-encoded to Shift-JIS at build time;
// a line may not grow past its original byte length.
// Anything after // is a comment and never reaches the ROM.

@1C0806 AD4_P_2A
@1C1E40 GA24_03.TSC
@1C1E50 GA24_10.TSC
@1C1E60 GA24_11.TSC
@1C1E70 GA24_12.TSC
@1C1E80 GA24_13.TSC
@1C1E90 GA25.TCG
@1C1EA0 GA25.TCL
@1C1EB0 GA25_00.TSC
@1C1EC0 GA25_01.TSC
@1C1ED0 GA25_02.TSC
@1C1EE0 GA25_03.TSC
@1C1EF0 GA25_10.TSC
@1C1F00 GA25_11.TSC
@1C1F10 GA25_12.TSC
@1C1F20 GA25_13.TSC
@1C1F30 GA26.TCG
@1C1F40 GA26.TCL
@1C1F50 GA26_00.TSC
@1C1F60 GA26_01.TSC
@1C1F70 GA26_10.TSC
@1C1F80 GA26_11.TSC
@1C1F90 GA60.TCG
@1C1FA0 GA60.TCL
@1C1FB0 GA60_00.TSC
@1C1FC0 GA60_01.TSC
@1C1FD0 GA60_02.TSC
@1C1FE0 GA60_03.TSC
@1C1FF0 GA60_04.TSC
@1C2000 GA60_05.TSC
@1C2010 GA60_06.TSC
@1C2020 GA60_10.TSC
@1C2030 GA60_11.TSC
@1C2040 GA60_12.TSC
@1C2050 GA60_13.TSC
@1C2060 GA60_14.TSC
@1C2070 GA60_15.TSC
@1C2080 GA60_16.TSC
@1C2090 GA_BG01.KCG
@1C20A0 GA_BG01.KCL
@1C20B0 GA_BG01.KMP
@1C20D0 G_EV001.SPC
@1C20E0 G_EV002.SPC
@1C20F0 G_EV003.SPC
@1C2100 G_EV004.SPC
@1C2110 G_EV005.SPC
@1C2120 G_EV006.SPC
@1C2130 G_EV007.SPC
@1C2140 G_EV010.SPC
@1C2150 G_EV011.SPC
@1C2180 G_EV012.SPC
@1C2190 G_EV013.SPC
@1C21A0 G_EV020.SPC
@1C21D0 G_EV021.SPC
@1C21E0 G_EV022.SPC
@1C21F0 G_EV023.SPC
@1C2220 G_EV024.SPC
@1C2230 G_EV025.SPC
@1C2250 G_EV030.SPC
@1C2260 G_EV031.SPC
@1C2270 G_EV032.SPC
@1C2280 G_EV040.SPC
@1C2290 G_EV041.SPC
@1C22A0 G_EV042.SPC
@1C22B0 G_EV043.SPC
@1C22C0 G_EV044.SPC
@1C22D0 G_EV050.SPC
@1C22E0 G_EV051.SPC
@1C22F0 G_EV052.SPC
@1C2300 G_EV060.SPC
@1C2310 G_EV061.SPC
@1C2320 G_EV062.SPC
@1C2330 G_EV063.SPC
@1C2340 G_VS_R.SPC
@1C2350 HI_DUNG.SPC
@1C2360 HI_M00.SPC
@1C2390 HI_M04.SPC
@1C23A0 HI_M07.SPC
@1C23C0 HI_M09.SPC
@1C23D0 HI_M11.SPC
@1C23E0 HI_M24.SPC
@1C23F0 HI_M24_1.SPC <06>e
@1C2400 HI_M24_2.SPCp<0F>e
@1C2410 HI_M24_4.SPCp<1F>e
@1C2420 HI_M25_1.SPCP1e
@1C2430 HI_M25_2.SPC@5e
@1C2440 HI_M26_2.SPC<10>;e
@1C2450 HI_M42.SPC
@1C2460 HI_NORM.SPC
@1C2470 IT_BG01.KCG
@1C2480 IT_BG01.KCL
@1C2490 IT_BG01.KMP
@1C24A0 IT_BG02.KCG
@1C24B0 IT_BG02.KCL
@1C24C0 IT_BG02.KMP
@1C24D0 JA05.TCG
@1C24E0 JA05.TCL
@1C24F0 JA05_A.TSC
@1C2500 JA05_B.TSC
@1C2510 JA05_C.TSC
@1C2520 JA05_D.TSC
@1C2530 J_HOLE.SPC
@1C2540 J_VS_M.SPC
@1C2550 L11_0_0.SPC
@1C2560 L11_0_2.SPC
@1C2570 L11_0_3.SPC
@1C2580 L24_0_0.SPC
@1C2590 L24_1_0.SPC
@1C25A0 L25_4_0.SPC
@1C25B0 MAP00_A.KCG
@1C25C0 MAP00_A.KCL
@1C25D0 MAP00_A.KMP
@1C25E0 MAP00_A.SPC
@1C25F0 MAP01_1A.KCG
@1C2610 MAP01_1A.KMP
@1C2630 MAP01_2A.KCG<10>aj
@1C26C0 MAP01_4A.SPC`_l
@1C26D0 MAP01_5A.KMP<10>al
@1C26F0 MAP01_6A.KMP
@1C2700 MAP01_A.KCG
@1C2710 MAP01_A.KCL
@1C2720 MAP01_A.KMP
@1C2730 MAP01_A.SPC
@1C2740 MAP03_A.KCG
@1C2750 MAP03_A.KCL
@1C2760 MAP03_A.KMP
@1C2770 MAP03_A.SPC
@1C27A0 MAP04_5A.KMP
@1C27F0 MAP04_6A.SPC0<16>r
@1C2800 MAP04_7A.KCGP<17>r
@1C2810 MAP04_7A.KCL`Yr
@1C2830 MAP04_A.KCG
@1C2840 MAP04_A.KCL
@1C2850 MAP04_A.KMP
@1C2860 MAP04_A.SPC
@1C2870 MAP05_A.KCG
@1C2880 MAP05_A.KCL
@1C2890 MAP05_A.KMP
@1C28A0 MAP05_A.SPC
@1C28C0 MAP06_1A.KCLp<14>y
@1C28D0 MAP06_1A.KMPP<15>y
@1C28F0 MAP06_2A.KCG
@1C2920 MAP06_2A.SPCp2z
@1C2930 MAP06_A.KCG
@1C2940 MAP06_A.KCL
@1C2950 MAP06_A.KMP
@1C2960 MAP06_A.SPC
@1C2980 MAP07_1A.SPC
@1C29F0 MAP07_3A.KMP
@1C2A10 MAP07_A.KCG
@1C2A20 MAP07_A.KCL
@1C2A30 MAP07_A.KMP
@1C2A40 MAP07_A.SPC
@1C2A50 MAP08_A.KCG
@1C2A60 MAP08_A.KCL
@1C2A70 MAP08_A.KMP
@1C2A80 MAP08_A.SPC
@1C2A90 MAP09_A.KCG
@1C2AA0 MAP09_A.KCL
@1C2AB0 MAP09_A.KMP
@1C2AC0 MAP09_A.SPC
@1C2B10 MAP10_A.KCG
@1C2B20 MAP10_A.KCL
@1C2B30 MAP10_A.KMP
@1C2B40 MAP10_A.SPC
@1C2B90 MAP11_2.SPC
@1C2BE0 MAP11_A.KCG
@1C2BF0 MAP11_A.KCL
@1C2C00 MAP11_A.KMP
@1C2C10 MAP11_A.SPC
@1C2C50 MAP24_1A.SPC
@1C2CC0 MAP24_A.KCG
@1C2CD0 MAP24_A.KCL
@1C2CE0 MAP24_A.KMP
@1C2CF0 MAP24_A.SPC
@1C2D60 MAP25_4A.KMP
@1C2D90 MAP25_5A.KCL
@1C2DB0 MAP25_5A.SPC
@1C2DD0 MAP26_1A.KCL
@1C2E60 MAP26_5A.KMP
@1C2EA0 MAP27_A.KCG
@1C2EB0 MAP27_A.KCL
@1C2EC0 MAP27_A.KMP
@1C2ED0 MAP40_A.KMP
@1C2EE0 MAP40_A.SPC
@1C2EF0 MAP41_A.KMP
@1C2F00 MAP41_A.SPC
@1C2F10 MAP42_A.KMP
@1C2F20 MAP42_A.SPC
@1C2F30 MAP99_A.KCG
@1C2F40 MAP99_A.KCL
@1C2F50 MAP99_A.KMP
@1C2F60 ML_BG01.KCG
@1C2F70 ML_BG01.KCL
@1C2F80 ML_BG01.KMP
@1C2FC0 NE01.TCG
@1C2FD0 NE01.TCL
@1C2FE0 NE01.TSC
@1C2FF0 NE05.TCL
@1C3000 NE13.TCG
@1C3010 NE13.TCL
@1C3020 NE13_A.TSC
@1C3030 NE13_B.TSC
@1C3040 NE13_C.TSC
@1C3050 NE21.TCG
@1C3060 NE21.TCL
@1C3070 NE21_00.TSC
@1C3080 NE21_01.TSC
@1C3090 NE21_02.TSC
@1C30A0 NE21_03.TSC
@1C30B0 NE21_04.TSC
@1C30C0 NE21_05.TSC
@1C30D0 NE32.TCG
@1C30E0 NE32.TCL
@1C30F0 NE32.TSC
@1C3100 NE33.TCG
@1C3110 NE33.TCL
@1C3120 NE33_A.TSC
@1C3130 NE33_B.TSC
@1C3140 NE33_C.TSC
@1C31E0 OBJ_D.SPC
@1C31F0 OBJ_G.SPC
@1C3200 OBJ_J.SPC
@1C3210 OBJ_S.SPC
@1C3220 OBJ_V.SPC
@1C3230 OPEN.SPC
@1C3240 OP_01_A.KCG
@1C3250 OP_01_A.KCL
@1C3260 OP_01_A.KMP
@1C3270 OP_04_A.KCG
@1C3280 OP_04_A.KCL
@1C3290 OP_04_A.KMP
@1C32A0 OP_05_A.KCG
@1C32B0 OP_05_A.KCL
@1C32C0 OP_05_A.KMP
@1C32D0 OP_06_A.KCG
@1C32E0 OP_06_A.KCL
@1C32F0 OP_06_A.KMP
@1C3300 OP_07_A.KCG
@1C3310 OP_07_A.KCL
@1C3320 OP_07_A.KMP
@1C3330 OP_08_A.KCG
@1C3340 OP_08_A.KCL
@1C3350 OP_08_A.KMP
@1C3360 OP_09_A.KCG
@1C3370 OP_09_A.KCL
@1C3380 OP_09_A.KMP
@1C3390 OP_0A_A.KCG
@1C33A0 OP_0A_A.KCL
@1C33B0 OP_0A_A.KMP
@1C33C0 PHANTOM.SPC
@1C33D0 PS_BG01.KCG
@1C33E0 PS_BG01.KCL
@1C33F0 PS_BG01.KMP
@1C3400 PV_BG01.KCG
@1C3410 PV_BG01.KCL
@1C3420 PV_BG01.KMP
@1C3430 PV_BG11.KCG
@1C3440 PV_BG11.KCL
@1C3450 PV_BG11.KMP
@1C3460 PW_BG01.KCG
@1C3470 PW_BG01.KCL
@1C3480 PW_BG01.KMP
@1C3490 PW_BOX.KCG
@1C34A0 PW_BOX.KCL
@1C34B0 PW_BOX.KMP
@1C34C0 SBA06.TCG
@1C34D0 SBA06.TCL
@1C3570 SK02.TCG
@1C3580 SK02.TCL
@1C3590 SK02_00.TSC
@1C35A0 SK02_01.TSC
@1C35B0 SK02_02.TSC
@1C35C0 SK02_03.TSC
@1C35D0 SK03.TCG
@1C35E0 SK03.TCL
@1C35F0 SK03_00.TSC
@1C3600 SK03_01.TSC
@1C3610 SK03_02.TSC
@1C3620 SK03_03.TSC
@1C3630 SM_BG01.KCG
@1C3640 SM_BG01.KCL
@1C3650 SM_BG01.KMP
@1C3660 SM_BG12.KCG
@1C3670 SM_BG12.KCL
@1C3680 SM_BG12.KMP
@1C3690 SN06.TCG
@1C36A0 SN06.TCL
@1C36B0 SN06.TSC
@1C36C0 SN07.TCG
@1C36D0 SN07.TCL
@1C36E0 SN07_A.TSC
@1C36F0 SN07_B.TSC
@1C3720 SP_BG01.KCG
@1C3730 SP_BG01.KCL
@1C3740 SP_BG01.KMP
@1C3750 SP_BG11.KCG
@1C3760 SP_BG11.KCL
@1C3770 SP_BG11.KMP
@1C3780 SP_BG12.KCG
@1C3790 SP_BG12.KCL
@1C37A0 SP_BG12.KMP
@1C37B0 SP_BG21.KCG
@1C37C0 SP_BG21.KCL
@1C37D0 SP_BG21.KMP
@1C37E0 SP_BG22.KCG
@1C37F0 SP_BG22.KCL
@1C3800 SP_BG22.KMP
@1C3810 SP_M00.SPC
@1C3820 SP_M01.SPC
@1C3880 SP_M04.SPC
@1C38B0 SP_M05.SPC
@1C38E0 SP_M07.SPC
@1C3900 SP_M08.SPC
@1C3910 SP_M09.SPC
@1C3920 SP_M10.SPC
@1C3940 SP_M24.SPC
@1C3960 SP_M24_2.SPC
@1C3A10 SP_M40.SPC
@1C3A20 SP_M41.SPC
@1C3A30 SP_M42.SPC
@1C3A40 SROLL.SPC
@1C3A50 SSN07.TCG
@1C3A60 SSN07.TCL
@1C3A70 SSN07_A.TSC
@1C3A80 SSN07_B.TSC
@1C3A90 ST_BG01.KCG
@1C3AA0 ST_BG01.KCL
@1C3AB0 ST_BG01.KMP
@1C3AC0 ST_BG02.KCG
@1C3AD0 ST_BG02.KCL
@1C3AE0 ST_BG02.KMP
@1C3AF0 ST_BG03.KCG
@1C3B00 ST_BG03.KCL
@1C3B10 ST_BG03.KMP
@1C3B20 ST_BG11.KCG
@1C3B30 ST_BG11.KCL
@1C3B40 ST_BG11.KMP
@1C3B50 SYSTEM.NCD
@1C3B90 S_DUNG.SPC
@1C3BB0 S_MAIN.SPC
@1C3BC0 S_MAP11.SPC
@1C3C00 T_C01.KCG
@1C3C10 T_C01.KCL
@1C3C20 T_C01.KMP
@1C3C30 T_C02.KCG
@1C3C40 T_C02.KCL
@1C3C50 T_C02.KMP
@1C3C60 T_ML_BG.KCG
@1C3C70 T_ML_BG.KCL
@1C3C80 T_ML_BG.KMP
@1C3C90 T_TTL06.KCG
@1C3CA0 T_TTL06.KCL
@1C3CB0 T_TTL06.KMP
@1C3CC0 VSMAP01.KMP
@1C3CD0 WM_BG01.KCG
@1C3CE0 WM_BG01.KCL
@1C3CF0 WM_BG01.KMP
@1C3D00 WM_BG02.KCG
@1C3D10 WM_BG02.KCL
@1C3D20 WM_BG02.KMP
@1C3D30 W_MAP.SPC
@1C3D5C AD0_P_0A.KCG
@1C3D9C AD0_P_0A.KCL
@1C88BE X<02>Y<02>
@1C893E Y<02>Y<02>
@1C93BE X<02>Y<02>
@1C943E Y<02>Y<02>
@1CF90C AD0_P_0A.KCG
@1CF94C AD0_P_0A.KCL
