// MAR strings block F10000
// One record per line: @<rom offset> <text>
// <XX> is a raw control byte. Text is re-encoded to Shift-JIS at build time;
// a line may not grow past its original byte length.
// Anything after // is a comment and never reaches the ROM.

@F123DE BTI_N.SPC
@F186A8 MAP26_2A
@F187AA MAP26_1A.SPC
@F18825 MAP26_3A.SPC
@F1887C MAP26_3A
@F1897E MAP26_2A.SPC
@F189F9 MAP26_5A.SPC
@F18A50 MAP26_5A
@F18B52 MAP26_3A.SPC
@F18BCD MAP26_6A.SPC
@F18C24 MAP26_6A
@F18D26 MAP26_5A.SPC
@F18D66 FUNCE<08>
@F192FB GetIrqCause
@F198D2 SetBabbo
@F19970 SCRP <01>
@F199E4 SPR_NORM.SPC
@F19A2D SPR_DUNG.SPC
@F19A6D GetPlayMode
@F1E6AC T_ML_BG.KCG
@F1E6EC T_ML_BG.KCL
@F1E7AE  <10>!<10>"<10>#<10>$<10>%<10>&<10>'<10>(<10>)
@F1E7DE ,<10>-<10>.<10>/<10>0<10>1<10>2<10>3<10>4<10>5<10>6<10>7<10>8<10>9<10>:<10>;<10><3C><10>=
@F1E81E @<10>A<10>B<10>C<10>D<10>E<10>F<10>G<10>H<10>I<10>J<10>K<10>L<10>M<10>N<10>O<10>P<10>Q
@F1E85C S<10>T<10>U<10>V<10>W<10>X<10>Y<10>Z<10>[<10>[<10>\<10>]<10>^<10>_<10>`<10>a<10>b<10>c<10>d
@F1E89C f<10>g<10>h<10>i<10>j<10>k<10>l<10>m<10>n<10>[<10>o<10>p<10>q<10>r<10>s<10>t<10>u<10>v<10>w
@F1EAF4  <11>!<11>"<11>#<11>$<11>%<11><02>
@F1EB1A &<01>'<11>(<11>)<11>*<11>+<11>,<11>-<11>.<11>/<11>0<11>1<11>2<11>3<11>4<11>5<11>6<11>7<11>8<11>9<01><02>
@F1EB5A :<01>;<11><3C><11>=<11><3E><11>?<11>@<11>A<11>B<11>C<11>D<11>E<11>F<11>G<11>H<11>I<11>J<11>K<11>L<11>M<01><02>
@F1EB9A N<01>O<11>P<11>Q<11>R<11>S<11>T<11>U<11>V<11>W<11>X<11>Y<11>Z<11>[<11>\<11>]<11>^<11>_<11>`<11>a<01><02>
@F1EBDA b<01>c<01>d<11>e<11>f<11>g<11>h<11>i<11>j<11>k<11>l<11>m<11>n<11>o<11>p<11>q<11>r<11>s<11>t<11>u<01><02>
