// MAR strings block 310000
// One record per line: @<rom offset> <text>
// <XX> is a raw control byte. Text is re-encoded to Shift-JIS at build time;
// a line may not grow past its original byte length.
// Anything after // is a comment and never reaches the ROM.

@313DB8 @<0C>a<0C>
@3144A8 r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>*<11>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@314528 r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@3145A8 r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@3146A8 r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@314728 r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@3147A8 r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@3148A8 r<12>r<12>r<12>r<12>
@317B8C AD4_P_0A.KCG
@317BCC AD4_P_0A.KCL
@317C30 r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@317C68 r<12>r<12>r<12>r<12>r<12>q<10>r<10>s<10>t<10>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@317E68 r<12>r<12>r<12>r<12>=<11><3E><11>?<11>@<11>A<11>B<11>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@317EE8 r<12>r<12>r<12>r<12>M<11>N<11>O<11>P<11>Q<11>R<11>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@318168 r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><16><11>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@3181E8 r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>*<11>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@318268 r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@3182E8 r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@3183E8 r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@318468 r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@3184E8 r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12>r<12><05>
@31B90C AD4_P_0A.KCG
@31B94C AD4_P_0A.KCL
@31E6CC AD4_P_0A.KCG
@31E70C AD4_P_0A.KCL
