// MAR script block 1B0000
// One record per line: @<rom offset> <text>
// <XX> is a raw control byte. Text is re-encoded to Shift-JIS at build time;
// a line may not grow past its original byte length.
// Anything after // is a comment and never reaches the ROM.

@1B2BFC フレイムボール　ＣＬ４  // fureimubo-ru ???
@1B3EFC ウィンドクラブリング  // uindokuraburingu
@1B3F1E 前向きに風属性のこん棒でなぐる  // EN: Strikes forward with a wind-element club.
@1B3F7C ウィンドソードリング  // uindoso-doringu
@1B3F9E 前向きに風属性の剣で斬る  // EN: Slashes forward with a wind-element sword.
@1B3FFC ウィンドアックスリング  // uindoakkusuringu
@1B401E 前向きに風属性のオノをふりおろす  // EN: Swings down a wind-element axe.
@1B407C ウィンドカタナリング  // uindokatanaringu
@1B409E 前向きに風属性の日本刀で斬る  // EN: Slashes forward with a wind-element katana.
@1B40FC アースナイフリング  // a-sunaifuringu
@1B411E 前向きに地属性のナイフで刺す  // EN: Stabs forward with a earth-element knife.
@1B417C アースクラブリング  // a-sukuraburingu
@1B419E 前向きに地属性のこん棒でなぐる  // EN: Strikes forward with a earth-element club.
@1B41FC アースソードリング  // a-suso-doringu
@1B421E 前向きに地属性の剣で斬る  // EN: Slashes forward with a earth-element sword.
@1B427C アースアックスリング  // a-suakkusuringu
@1B429E 前向きに地属性のオノをふりおろす  // EN: Swings down a earth-element axe.
@1B42FC アースカタナリング  // a-sukatanaringu
@1B431E 前向きに地属性の日本刀で斬る  // EN: Slashes forward with a earth-element katana.
@1B437C サンダーナイフリング  // sanda-naifuringu
@1B439E 前向きに雷属性のナイフで刺す  // EN: Stabs forward with a lightning-element knife.
@1B43FC サンダークラブリング  // sanda-kuraburingu
@1B441E 前向きに雷属性のこん棒でなぐる  // EN: Strikes forward with a lightning-element club.
@1B447C サンダーソードリング  // sanda-so-doringu
@1B449E 前向きに雷属性の剣で斬る  // EN: Slashes forward with a lightning-element sword.
@1B44FC サンダーアックスリング  // sanda-akkusuringu
@1B451E 前向きに雷属性のオノをふりおろす  // EN: Swings down a lightning-element axe.
@1B457C サンダーカタナリング  // sanda-katanaringu
@1B459E 前向きに雷属性の日本刀で斬る  // EN: Slashes forward with a lightning-element katana.
@1B45FC ウォーターパワー　ＣＬ１  // uo-ta-pawa- ???
@1B461E 攻撃力を増やして水属性にチェンジ  // EN: Increases attack and changes to the water element.
@1B467C ウォーターパワー　ＣＬ２  // uo-ta-pawa- ???
@1B469E 攻撃力を増やして水属性にチェンジ  // EN: Increases attack and changes to the water element.
@1B46FC ウォーターパワー　ＣＬ３  // uo-ta-pawa- ???
@1B471E 攻撃力を増やして水属性にチェンジ  // EN: Increases attack and changes to the water element.
@1B477C ウォーターパワー　ＣＬ４  // uo-ta-pawa- ???
@1B479E 攻撃力を増やして水属性にチェンジ  // EN: Increases attack and changes to the water element.
@1B47FC ウォーターパワー　ＣＬ５  // uo-ta-pawa- ???
@1B481E 攻撃力を増やして水属性にチェンジ  // EN: Increases attack and changes to the water element.
@1B487C ファイアパワー　ＣＬ１  // fuaiapawa- ???
@1B489E 攻撃力を増やして火属性にチェンジ  // EN: Increases attack and changes to the fire element.
@1B48FC ファイアパワー　ＣＬ２  // fuaiapawa- ???
@1B491E 攻撃力を増やして火属性にチェンジ  // EN: Increases attack and changes to the fire element.
@1B497C ファイアパワー　ＣＬ３  // fuaiapawa- ???
@1B499E 攻撃力を増やして火属性にチェンジ  // EN: Increases attack and changes to the fire element.
@1B49FC ファイアパワー　ＣＬ４  // fuaiapawa- ???
@1B4A1E 攻撃力を増やして火属性にチェンジ  // EN: Increases attack and changes to the fire element.
@1B4A7C ファイアパワー　ＣＬ５  // fuaiapawa- ???
@1B4A9E 攻撃力を増やして火属性にチェンジ  // EN: Increases attack and changes to the fire element.
@1B4AFC リーフパワー　ＣＬ１  // ri-fupawa- ???
@1B4B1E 攻撃力を増やして木属性にチェンジ  // EN: Increases attack and changes to the wood element.
@1B4B7C リーフパワー　ＣＬ２  // ri-fupawa- ???
@1B4B9E 攻撃力を増やして木属性にチェンジ  // EN: Increases attack and changes to the wood element.
@1B4BFC リーフパワー　ＣＬ３  // ri-fupawa- ???
@1B4C1E 攻撃力を増やして木属性にチェンジ  // EN: Increases attack and changes to the wood element.
@1B4C7C リーフパワー　ＣＬ４  // ri-fupawa- ???
@1B4C9E 攻撃力を増やして木属性にチェンジ  // EN: Increases attack and changes to the wood element.
@1B4CFC リーフパワー　ＣＬ５  // ri-fupawa- ???
@1B4D1E 攻撃力を増やして木属性にチェンジ  // EN: Increases attack and changes to the wood element.
@1B4D7C ウィンドパワー　ＣＬ１  // uindopawa- ???
@1B4D9E 攻撃力を増やして風属性にチェンジ  // EN: Increases attack and changes to the wind element.
@1B4DFC ウィンドパワー　ＣＬ２  // uindopawa- ???
@1B4E1E 攻撃力を増やして風属性にチェンジ  // EN: Increases attack and changes to the wind element.
@1B4E7C ウィンドパワー　ＣＬ３  // uindopawa- ???
@1B4E9E 攻撃力を増やして風属性にチェンジ  // EN: Increases attack and changes to the wind element.
@1B4EFC ウィンドパワー　ＣＬ４  // uindopawa- ???
@1B4F1E 攻撃力を増やして風属性にチェンジ  // EN: Increases attack and changes to the wind element.
@1B4F7C ウィンドパワー　ＣＬ５  // uindopawa- ???
@1B4F9E 攻撃力を増やして風属性にチェンジ  // EN: Increases attack and changes to the wind element.
@1B4FFC アースパワー　ＣＬ１  // a-supawa- ???
@1B501E 攻撃力を増やして地属性にチェンジ  // EN: Increases attack and changes to the earth element.
@1B507C アースパワー　ＣＬ２  // a-supawa- ???
@1B509E 攻撃力を増やして地属性にチェンジ  // EN: Increases attack and changes to the earth element.
@1B50FC アースパワー　ＣＬ３  // a-supawa- ???
@1B511E 攻撃力を増やして地属性にチェンジ  // EN: Increases attack and changes to the earth element.
@1B517C アースパワー　ＣＬ４  // a-supawa- ???
@1B519E 攻撃力を増やして地属性にチェンジ  // EN: Increases attack and changes to the earth element.
@1B51FC アースパワー　ＣＬ５  // a-supawa- ???
@1B521E 攻撃力を増やして地属性にチェンジ  // EN: Increases attack and changes to the earth element.
@1B527C サンダーパワー　ＣＬ１  // sanda-pawa- ???
@1B529E 攻撃力を増やして雷属性にチェンジ  // EN: Increases attack and changes to the lightning element.
@1B52FC サンダーパワー　ＣＬ２  // sanda-pawa- ???
@1B531E 攻撃力を増やして雷属性にチェンジ  // EN: Increases attack and changes to the lightning element.
@1B537C サンダーパワー　ＣＬ３  // sanda-pawa- ???
@1B539E 攻撃力を増やして雷属性にチェンジ  // EN: Increases attack and changes to the lightning element.
@1B53FC サンダーパワー　ＣＬ４  // sanda-pawa- ???
@1B541E 攻撃力を増やして雷属性にチェンジ  // EN: Increases attack and changes to the lightning element.
@1B547C サンダーパワー　ＣＬ５  // sanda-pawa- ???
@1B549E 攻撃力を増やして雷属性にチェンジ  // EN: Increases attack and changes to the lightning element.
@1B54FC ウォーターコート　ＣＬ１  // uo-ta-ko-to ???
@1B551E 防御力を高めて水属性にチェンジ  // EN: Increases defense and changes to the water element.
@1B557C ウォーターコート　ＣＬ２  // uo-ta-ko-to ???
@1B559E 防御力を高めて水属性にチェンジ  // EN: Increases defense and changes to the water element.
@1B55FC ウォーターコート　ＣＬ３  // uo-ta-ko-to ???
@1B561E 防御力を高めて水属性にチェンジ  // EN: Increases defense and changes to the water element.
@1B567C ウォーターコート　ＣＬ４  // uo-ta-ko-to ???
@1B569E 防御力を高めて水属性にチェンジ  // EN: Increases defense and changes to the water element.
@1B56FC ウォーターコート　ＣＬ５  // uo-ta-ko-to ???
@1B571E 防御力を高めて水属性にチェンジ  // EN: Increases defense and changes to the water element.
@1B577C ファイアコート　ＣＬ１  // fuaiako-to ???
@1B579E 防御力を高めて火属性にチェンジ  // EN: Increases defense and changes to the fire element.
@1B57FC ファイアコート　ＣＬ２  // fuaiako-to ???
@1B581E 防御力を高めて火属性にチェンジ  // EN: Increases defense and changes to the fire element.
@1B587C ファイアコート　ＣＬ３  // fuaiako-to ???
@1B589E 防御力を高めて火属性にチェンジ  // EN: Increases defense and changes to the fire element.
@1B58FC ファイアコート　ＣＬ４  // fuaiako-to ???
@1B591E 防御力を高めて火属性にチェンジ  // EN: Increases defense and changes to the fire element.
@1B597C ファイアコート　ＣＬ５  // fuaiako-to ???
@1B599E 防御力を高めて火属性にチェンジ  // EN: Increases defense and changes to the fire element.
@1B59FC リーフコート　ＣＬ１  // ri-fuko-to ???
@1B5A1E 防御力を高めて木属性にチェンジ  // EN: Increases defense and changes to the wood element.
@1B5A7C リーフコート　ＣＬ２  // ri-fuko-to ???
@1B5A9E 防御力を高めて木属性にチェンジ  // EN: Increases defense and changes to the wood element.
@1B5AFC リーフコート　ＣＬ３  // ri-fuko-to ???
@1B5B1E 防御力を高めて木属性にチェンジ  // EN: Increases defense and changes to the wood element.
@1B5B7C リーフコート　ＣＬ４  // ri-fuko-to ???
@1B5B9E 防御力を高めて木属性にチェンジ  // EN: Increases defense and changes to the wood element.
@1B5BFC リーフコート　ＣＬ５  // ri-fuko-to ???
@1B5C1E 防御力を高めて木属性にチェンジ  // EN: Increases defense and changes to the wood element.
@1B5C7C ウィンドコート　ＣＬ１  // uindoko-to ???
@1B5C9E 防御力を高めて風属性にチェンジ  // EN: Increases defense and changes to the wind element.
@1B5CFC ウィンドコート　ＣＬ２  // uindoko-to ???
@1B5D1E 防御力を高めて風属性にチェンジ  // EN: Increases defense and changes to the wind element.
@1B5D7C ウィンドコート　ＣＬ３  // uindoko-to ???
@1B5D9E 防御力を高めて風属性にチェンジ  // EN: Increases defense and changes to the wind element.
@1B5DFC ウィンドコート　ＣＬ４  // uindoko-to ???
@1B5E1E 防御力を高めて風属性にチェンジ  // EN: Increases defense and changes to the wind element.
@1B5E7C ウィンドコート　ＣＬ５  // uindoko-to ???
@1B5E9E 防御力を高めて風属性にチェンジ  // EN: Increases defense and changes to the wind element.
@1B5EFC アースコート　ＣＬ１  // a-suko-to ???
@1B5F1E 防御力を高めて地属性にチェンジ  // EN: Increases defense and changes to the earth element.
@1B5F7C アースコート　ＣＬ２  // a-suko-to ???
@1B5F9E 防御力を高めて地属性にチェンジ  // EN: Increases defense and changes to the earth element.
@1B5FFC アースコート　ＣＬ３  // a-suko-to ???
@1B601E 防御力を高めて地属性にチェンジ  // EN: Increases defense and changes to the earth element.
@1B607C アースコート　ＣＬ４  // a-suko-to ???
@1B609E 防御力を高めて地属性にチェンジ  // EN: Increases defense and changes to the earth element.
@1B60FC アースコート　ＣＬ５  // a-suko-to ???
@1B611E 防御力を高めて地属性にチェンジ  // EN: Increases defense and changes to the earth element.
@1B617C サンダーコート　ＣＬ１  // sanda-ko-to ???
@1B619E 防御力を高めて雷属性にチェンジ  // EN: Increases defense and changes to the lightning element.
@1B61FC サンダーコート　ＣＬ２  // sanda-ko-to ???
@1B621E 防御力を高めて雷属性にチェンジ  // EN: Increases defense and changes to the lightning element.
@1B627C サンダーコート　ＣＬ３  // sanda-ko-to ???
@1B629E 防御力を高めて雷属性にチェンジ  // EN: Increases defense and changes to the lightning element.
@1B62FC サンダーコート　ＣＬ４  // sanda-ko-to ???
@1B631E 防御力を高めて雷属性にチェンジ  // EN: Increases defense and changes to the lightning element.
@1B637C サンダーコート　ＣＬ５  // sanda-ko-to ???
@1B639E 防御力を高めて雷属性にチェンジ  // EN: Increases defense and changes to the lightning element.
@1B63FC エスケイプ　ＣＬ２  // esukeipu ???
@1B641E うまくいけば戦闘から逃げられる  // EN: May let you escape from battle.
@1B647C エスケイプ　ＣＬ３  // esukeipu ???
@1B649E 戦闘から高い確率で逃げられる  // EN: High chance of escaping from battle.
@1B64FC エスケイプ　ＣＬ４  // esukeipu ???
@1B651E ほぼ確実に戦闘から逃げられる  // EN: Almost certain escape from battle.
@1B657C 天使の口づけ  // EN: Angel's Kiss
@1B659E ダークネス効果を消し去る  // EN: Removes Darkness effects.
@1B65FC フェニックス  // fuenikkusu
@1B661E 体力が０になると自動的に回復する  // EN: Automatically restores HP when it reaches zero.
@1B667C スリーピーリング　ＣＬ１  // suri-pi-ringu ???
@1B669E 敵を少し眠らせる  // EN: Briefly puts the enemy to sleep.
@1B66FC スリーピーリング　ＣＬ２  // suri-pi-ringu ???
@1B671E 敵を眠らせる  // EN: Puts the enemy to sleep.
@1B677C スリーピーリング　ＣＬ３  // suri-pi-ringu ???
@1B679E 敵を熟睡させる  // EN: Puts the enemy into a deep sleep.
@1B67FC スリーピーリング　ＣＬ４  // suri-pi-ringu ???
@1B681E 敵を長い時間眠らせる  // EN: Puts the enemy to sleep for a long time.
@1B687C スリーピーリング　ＣＬ５  // suri-pi-ringu ???
@1B689E 敵をかなり長時間眠らせる  // EN: Puts the enemy to sleep for a very long time.
@1B68FC アームフリーズ　ＣＬ１  // a-mufuri-zu ???
@1B697C アームフリーズ　ＣＬ２  // a-mufuri-zu ???
@1B69FC アームフリーズ　ＣＬ３  // a-mufuri-zu ???
@1B6A7C アームフリーズ　ＣＬ４  // a-mufuri-zu ???
@1B6AFC カウントダウン　ＣＬ１  // kauntodaun ???
@1B6B1E パラメータを減らすカウントダウン  // EN: A countdown that lowers stats.
@1B6B7C カウントダウン　ＣＬ２  // kauntodaun ???
@1B6B9E パラメータを減らすカウントダウン  // EN: A countdown that lowers stats.
@1B6BFC カウントダウン　ＣＬ３  // kauntodaun ???
@1B6C1E パラメータを減らすカウントダウン  // EN: A countdown that lowers stats.
@1B6C7C カウントダウン　ＣＬ４  // kauntodaun ???
@1B6C9E パラメータを減らすカウントダウン  // EN: A countdown that lowers stats.
@1B6CFC カウントダウン　ＣＬ５  // kauntodaun ???
@1B6D1E パラメータを減らすカウントダウン  // EN: A countdown that lowers stats.
@1B6D7C デッキダウン　ＣＬ２  // dekkidaun ???
@1B6DFC デッキダウン　ＣＬ３  // dekkidaun ???
@1B6E7C デッキダウン　ＣＬ４  // dekkidaun ???
@1B6EFC デッキダウン　ＣＬ５  // dekkidaun ???
@1B6F7C ミノタウロ　ＣＬ２  // minotauro ???
@1B6F9E ミノタウロのタックル攻撃  // EN: Minotauro attacks with a tackle.
@1B6FFC ミノタウロ　ＣＬ３  // minotauro ???
@1B701E ミノタウロの連続タックル  // EN: Minotauro tackles repeatedly.
@1B707C ミノタウロ　ＣＬ４  // minotauro ???
@1B709E ミノタウロの連続パンチ  // EN: Minotauro punches repeatedly.
@1B70FC ミノタウロ　ＣＬ５  // minotauro ???
@1B711E ミノタウロの必殺コンボ  // EN: Minotauro unleashes a finishing combo.
@1B717C サーペント　ＣＬ２  // sa-pento ???
@1B719E サーペントが水属性に変えて防御  // EN: Serpent changes to the water element and defends.
@1B71FC サーペント　ＣＬ３  // sa-pento ???
@1B721E サーペントがうず巻きを発生させる  // EN: Serpent creates a whirlpool.
@1B727C サーペント　ＣＬ４  // sa-pento ???
@1B729E サーペントが津波をおこす  // EN: Serpent creates a tidal wave.
@1B72FC サーペント　ＣＬ５  // sa-pento ???
@1B731E サーペントが津波をおこし凍らせる  // EN: Serpent creates a tidal wave and freezes the enemy.
@1B737C サラマンダー　ＣＬ２  // saramanda- ???
@1B739E サラマンダーが火属性に変えて防御  // EN: Salamander changes to the fire element and defends.
@1B73FC サラマンダー　ＣＬ３  // saramanda- ???
@1B741E サラマンダーが敵にアタック  // EN: Salamander attacks the enemy.
@1B747C サラマンダー　ＣＬ４  // saramanda- ???
@1B749E サラマンダーから炎が飛び出す  // EN: Flames shoot out of Salamander.
@1B74FC サラマンダー　ＣＬ５  // saramanda- ???
@1B751E 巨大サラマンダーが炎をはく  // EN: A giant Salamander breathes fire.
@1B757C トレント　ＣＬ２  // torento ???
@1B759E トレントが木属性に変えて防御  // EN: Treant changes to the wood element and defends.
@1B75FC トレント　ＣＬ３  // torento ???
@1B761E トレントの葉攻撃＆体力回復  // EN: Treant attacks with leaves and restores HP.
@1B767C トレント　ＣＬ４  // torento ???
@1B769E トレントの倒木攻撃＆体力回復  // EN: Treant attacks with a falling tree and restores HP.
@1B76FC トレント　ＣＬ５  // torento ???
@1B771E トレントの殴り攻撃＆体力回復  // EN: Treant strikes the enemy and restores HP.
@1B777C ジン　ＣＬ２  // jin ???
@1B779E ジンが風属性に変えて防御  // EN: Djinn changes to the wind element and defends.
@1B77FC ジン　ＣＬ３  // jin ???
@1B781E ジンの体当たり攻撃  // EN: Djinn attacks with a body slam.
@1B787C ジン　ＣＬ４  // jin ???
@1B789E ジンの分裂体当たり攻撃  // EN: Djinn splits into copies that attack with body slams.
@1B78FC ジン　ＣＬ５  // jin ???
@1B791E ジンの大分裂＆超アタック  // EN: Djinn splits into many copies and unleashes a powerful attack.
@1B797C クエイク　ＣＬ２  // kueiku ???
@1B799E クエイクが地属性に変え防御と回復  // EN: Quake changes to the earth element, defends and heals.
@1B79FC クエイク　ＣＬ３  // kueiku ???
@1B7A1E クエイクの大地の攻撃＆体力回復  // EN: Quake attacks with earth and restores HP.
@1B7A7C クエイク　ＣＬ４  // kueiku ???
@1B7A9E クエイクの大地連続攻撃＆体力回復  // EN: Quake attacks repeatedly with earth and restores HP.
@1B7AFC クエイク　ＣＬ５  // kueiku ???
@1B7B1E クエイクの大噴火攻撃＆体力回復  // EN: Quake attacks with a massive eruption and restores HP.
@1B7B7C インドラ　ＣＬ２  // indora ???
@1B7B9E インドラが雷属性に変えて防御  // EN: Indra changes to the lightning element and defends.
@1B7BFC インドラ　ＣＬ３  // indora ???
@1B7C1E インドラの電撃で１体が動作不能  // EN: Indra's electric shock immobilizes one target.
@1B7C7C インドラ　ＣＬ４  // indora ???
@1B7C9E インドラの大電撃で１体が動作不能  // EN: Indra's powerful electric shock immobilizes one target.
@1B7CFC インドラ　ＣＬ５  // indora ???
@1B7D1E インドラの超電撃で１体が動作不能  // EN: Indra's supercharged electric shock immobilizes one target.
@1B7D7C アイス＆ウォーター　ＣＬ１  // aisu?uo-ta- ???
@1B7D9E 水のかたまりを前方向に投げる  // EN: Throws a mass of water forward.
@1B7DFC アイス＆ウォーター　ＣＬ２  // aisu?uo-ta- ???
@1B7E1E 氷のかたまりを前方向に投げる  // EN: Throws a chunk of ice forward.
@1B7E7C アイス＆ウォーター　ＣＬ３  // aisu?uo-ta- ???
@1B7E9E 多くの氷を前方向にばらまく  // EN: Scatters a shower of ice forward.
@1B7EFC アイス＆ウォーター　ＣＬ４  // aisu?uo-ta- ???
@1B7F1E 大量の氷を前にばらまく  // EN: Scatters a huge shower of ice forward.
@1B7F7C アイス＆ウォーター　ＣＬ５  // aisu?uo-ta- ???
@1B7F9E 氷河が敵を飲みこむ  // EN: A glacier engulfs the enemy.
@1B7FFC ファイアバーニング　ＣＬ１  // fuaiaba-ningu ???
@1B801E 小さな火の玉を飛ばす  // EN: Launches a small fireball.
@1B807C ファイアバーニング　ＣＬ２  // fuaiaba-ningu ???
@1B809E 大きな火の玉を飛ばす  // EN: Launches a large fireball.
@1B80FC ファイアバーニング　ＣＬ３  // fuaiaba-ningu ???
@1B811E 火の玉を渦巻きのように飛ばす  // EN: Launches fireballs in a spiral.
@1B817C ファイアバーニング　ＣＬ４  // fuaiaba-ningu ???
@1B819E 上下から炎攻撃  // EN: Attacks with flames from above and below.
@1B81FC ファイアバーニング　ＣＬ５  // fuaiaba-ningu ???
@1B821E 小さな超新星爆発をおこす  // EN: Creates a small supernova explosion.
@1B827C プランツアタック　ＣＬ１  // purantsuatakku ???
@1B829E 体を葉で包み、動きを遅くする  // EN: Wraps the body in leaves, slowing movement.
@1B82FC プランツアタック　ＣＬ２  // purantsuatakku ???
@1B831E ツタを足に絡ませて動きを止める  // EN: Entangles the feet in vines, stopping movement.
@1B837C プランツアタック　ＣＬ３  // purantsuatakku ???
@1B839E ツタを体に絡ませて動きを止める  // EN: Entangles the body in vines, stopping movement.
@1B83FC プランツアタック　ＣＬ４  // purantsuatakku ???
@1B841E 木から大量の虫を飛ばす  // EN: Sends a swarm of insects flying out of a tree.
@1B847C プランツアタック　ＣＬ５  // purantsuatakku ???
@1B849E 大木がすべてにダメージを与える  // EN: A huge tree damages everything.
@1B84FC デンジャラスストーム　ＣＬ１  // denjarasusuto-mu ???
@1B851E 悪臭のつまった風船を飛ばす  // EN: Launches a balloon filled with a foul smell.
@1B857C デンジャラスストーム　ＣＬ２  // denjarasusuto-mu ???
@1B859E たくさんの悪臭風船を飛ばす  // EN: Launches many foul-smelling balloons.
@1B85FC デンジャラスストーム　ＣＬ３  // denjarasusuto-mu ???
@1B861E 大量の悪臭風船を飛ばす  // EN: Launches a huge barrage of foul-smelling balloons.
@1B867C デンジャラスストーム　ＣＬ４  // denjarasusuto-mu ???
@1B869E 砂嵐で攻撃し、目に砂を入れる  // EN: Attacks with a sandstorm, getting sand in the enemy's eyes.
@1B86FC デンジャラスストーム　ＣＬ５  // denjarasusuto-mu ???
@1B871E ハリケーンからいろいろ飛び出す  // EN: Various objects fly out of a hurricane.
@1B877C アースフォース　ＣＬ１  // a-sufuo-su ???
@1B879E 足元をドロにして移動できなくする  // EN: Turns the ground underfoot to mud, preventing movement.
@1B87FC アースフォース　ＣＬ２  // a-sufuo-su ???
@1B881E 水晶がガードする  // EN: A crystal guards the user.
@1B887C アースフォース　ＣＬ３  // a-sufuo-su ???
@1B889E 宝石がガードする  // EN: A gemstone guards the user.
@1B88FC アースフォース　ＣＬ４  // a-sufuo-su ???
@1B891E 地震をおこし岩を落とす  // EN: Causes an earthquake and falling rocks.
@1B897C アースフォース　ＣＬ５  // a-sufuo-su ???
@1B899E 地割れをおこしマグマが噴き出す  // EN: Splits the ground, sending magma gushing out.
@1B89FC ライトニングボルト　ＣＬ１  // raitoninguboruto ???
@1B8A1E プラズマ電気をぶつける  // EN: Hits the target with electrical plasma.
@1B8A7C ライトニングボルト　ＣＬ２  // raitoninguboruto ???
@1B8A9E 雷をおとす  // EN: Calls down lightning.
@1B8AFC ライトニングボルト　ＣＬ３  // raitoninguboruto ???
@1B8B1E 大きな雷をおとす  // EN: Calls down a massive lightning strike.
@1B8B7C ライトニングボルト　ＣＬ４  // raitoninguboruto ???
@1B8B9E たくさんの雷をおとす  // EN: Calls down many lightning strikes.
@1B8BFC ライトニングボルト　ＣＬ５  // raitoninguboruto ???
@1B8C1E 巨大雷をおとしまわりに放電させる  // EN: Calls down a massive lightning strike that discharges electricity around it.
@1B8C7C スキャンリング  // sukyanringu
@1B8CFC ストックリング  // sutokkuringu
@1B8D7C シャッフルリング  // shaffururingu
@1B8DFC ダミー  // dami-
@1B8E1E ダミー  // dami-
@1B8E7C ダミー  // dami-
@1B8E9E ダミー  // dami-
