// MAR ÄRM definition names and descriptions (445 records, 128 bytes each)
// One record per line: @<rom offset> <text>
// Text is re-encoded to Shift-JIS at build time; a line may not grow
// past its fixed source field. Anything after // is a source comment.

@1B097C ＥＭＰＴＹ  // EN: Empty
@1B1E1E 敵を鳥にしてカゴに閉じこめる  // EN: Turns the enemy into a caged bird.
@1B1E7C パイソンウィップ  // EN: Python Whip
@1B1E9E ２本のムチで攻撃  // EN: Attacks with two whips.
@1B1EFC メルトアイス  // EN: Melt Ice
@1B1F1E 熱い空気を広げて攻撃  // EN: Attacks with a wave of hot air.
@1B1F7C 修練の門  // EN: Training Gate
@1B1F9E 異世界への入口  // EN: An entrance to another world.
@1B1FFC メリロさん  // EN: Merilo
@1B201E とってもかわいいガイドさん  // EN: An adorable guide.
@1B207C ブモルさん  // EN: Bumol
@1B209E ナビゲーター  // EN: Navigator
@1B20FC エアハンマー  // EN: Air Hammer
@1B211E 空気を固めて発射する  // EN: Compresses and fires air.
@1B217C エアハンマー　ＳＰ  // EN: Air Hammer SP
@1B219E すごいエアハンマー！  // EN: An amazing Air Hammer!
@1B21FC オクトパス  // EN: Octopus
@1B221E ８本のムチで攻撃  // EN: Attacks with eight whips.
@1B227C 癒しの天使　ＣＬ１  // EN: Healing Angel CL1
@1B229E 使用者の体力を少し回復する  // EN: Restores a little of the user's HP.
@1B22FC 癒しの天使　ＣＬ２  // EN: Healing Angel CL2
@1B231E 使用者の体力をかなり回復する  // EN: Restores a large amount of the user's HP.
@1B237C 癒しの天使　ＣＬ３  // EN: Healing Angel CL3
@1B239E 使用者の体力が全部回復する  // EN: Fully restores the user's HP.
@1B23FC 癒しの天使　ＣＬ５  // EN: Healing Angel CL5
@1B241E 味方全員の体力が回復か半分に…  // EN: Either heals all allies or halves their HP...
@1B247C マジックカーペット  // EN: Magic Carpet
@1B249E 人を乗せて空中を移動する  // EN: Carries people through the air.
@1B24FC アンダータ  // EN: Andarta
@1B251E 願ったところに瞬間移動する  // EN: Teleports the user wherever they wish.
@1B257C ストーンボディ　ＣＬ１  // EN: Stone Body CL1
@1B259E 体が石のように固くなる  // EN: Makes the body as hard as stone.
@1B25FC ストーンボディ　ＣＬ２  // EN: Stone Body CL2
@1B261E 体が鉄のように固くなる  // EN: Makes the body as hard as iron.
@1B267C ストーンボディ　ＣＬ３  // EN: Stone Body CL3
@1B269E 体がチタンのように固くなる  // EN: Makes the body as hard as titanium.
@1B26FC ストーンボディ　ＣＬ５  // EN: Stone Body CL5
@1B271E 体がダイヤモンドのように固くなる  // EN: Makes the body as hard as diamond.
@1B277C エレクトリック・アイ　ＣＬ２  // EN: Electric Eye CL2
@1B279E 電撃が横に走る  // EN: Sends an electric shock sideways.
@1B27FC エレクトリック・アイ　ＣＬ３  // EN: Electric Eye CL3
@1B281E 強い電撃が横に走る  // EN: Sends a strong electric shock sideways.
@1B287C エレクトリック・アイ　ＣＬ４  // EN: Electric Eye CL4
@1B289E ものすごい電撃が横に走る  // EN: Sends a tremendous shock sideways.
@1B28FC エレクトリック・アイ　ＳＰ  // EN: Electric Eye SP
@1B291E すごいエレクトリック・アイ！  // EN: An amazing Electric Eye!
@1B297C アイスドアース　ＣＬ２  // EN: Ice de Earth CL2
@1B299E 小さな氷をぶつける  // EN: Strikes with a small chunk of ice.
@1B29FC アイスドアース　ＣＬ３  // EN: Ice de Earth CL3
@1B2A1E たくさんの氷をぶつける  // EN: Strikes with many chunks of ice.
@1B2A7C アイスドアース　ＣＬ４  // EN: Ice de Earth CL4
@1B2A9E たくさんの氷を勢いよくぶつける  // EN: Hurls many chunks of ice with force.
@1B2AFC フレイムボール　ＣＬ２  // EN: Flame Ball CL2
@1B2B1E 炎のかたまりをぶつける  // EN: Strikes with a ball of flame.
@1B2B7C フレイムボール　ＣＬ３  // EN: Flame Ball CL3
@1B2B9E 熱い溶岩をぶつける  // EN: Strikes with hot lava.
@1B2BFC フレイムボール　ＣＬ４  // EN: Flame Ball CL4
@1B2C1E 長い炎を飛ばす  // EN: Launches a long stream of flame.
@1B2C7C パワーリング　ＣＬ１  // EN: Power Ring CL1
@1B2C9E 腕力がすこし強くなる  // EN: Slightly increases physical strength.
@1B2CFC パワーリング　ＣＬ２  // EN: Power Ring CL2
@1B2D1E 腕力がかなり強くなる  // EN: Greatly increases physical strength.
@1B2D7C パワーリング　ＣＬ３  // EN: Power Ring CL3
@1B2D9E 腕力がすごく強くなる  // EN: Dramatically increases physical strength.
@1B2DFC パワーリング　ＣＬ４  // EN: Power Ring CL4
@1B2E1E 腕力がとてつもなく強くなる  // EN: Enormously increases physical strength.
@1B2E7C ヴィンダールブ　ＣＬ３  // EN: Windalv CL3
@1B2E9E 突風をぶつける  // EN: Hits the target with a gust of wind.
@1B2EFC ヴィンダールブ　ＣＬ４  // EN: Windalv CL4
@1B2F1E 竜巻を作ってぶつける  // EN: Creates a tornado and sends it at the target.
@1B2F7C ヴィンダールブ　ＣＬ５  // EN: Windalv CL5
@1B2F9E 台風を発生させる  // EN: Creates a typhoon.
@1B2FFC ジッパー  // EN: Zipper
@1B301E 何が出るかはお楽しみ  // EN: What comes out is a surprise.
@1B307C レインドッグ  // EN: Rain Dog
@1B309E 敵を食い尽くすどう猛な犬  // EN: A ferocious dog that devours enemies.
@1B30FC レインドッグ　ＳＰ  // EN: Rain Dog SP
@1B311E すごいレインドッグ！  // EN: An amazing Rain Dog!
@1B317C スクリューサーベル  // EN: Screw Saber
@1B319E うず巻きサーベルで刺す  // EN: Stabs with a spiral saber.
@1B31FC ストーンキューブ　ＣＬ２  // EN: Stone Cube CL2
@1B321E 自爆する石が降ってくる  // EN: Exploding stones rain down.
@1B327C ストーンキューブ　ＣＬ３  // EN: Stone Cube CL3
@1B329E 自爆する石が多く降ってくる  // EN: Many exploding stones rain down.
@1B32FC ストーンキューブ　ＣＬ４  // EN: Stone Cube CL4
@1B331E 自爆する石がたくさん降ってくる  // EN: A great many exploding stones rain down.
@1B337C ストーンキューブ　ＣＬ５  // EN: Stone Cube CL5
@1B339E マグマのヘビが飛び回る  // EN: A magma snake flies around.
@1B33FC シャドーマン  // EN: Shadowman
@1B341E 自分の分身が戦う  // EN: A duplicate of the user fights.
@1B347C ナイフリング  // EN: Knife Ring
@1B349E 前向きにナイフで刺す  // EN: Stabs forward with a knife.
@1B34FC クラブリング  // EN: Club Ring
@1B351E 前向きにこん棒でなぐる  // EN: Strikes forward with a club.
@1B357C ソードリング  // EN: Sword Ring
@1B359E 前向きに剣で斬る  // EN: Slashes forward with a sword.
@1B35FC アックスリング  // EN: Axe Ring
@1B361E 前向きにオノをふりおろす  // EN: Swings an axe down in front.
@1B367C カタナリング  // EN: Katana Ring
@1B369E 前向きに日本刀で斬る  // EN: Slashes forward with a katana.
@1B36FC ウォーターナイフリング  // EN: Water Knife Ring
@1B371E 前向きに水属性のナイフで刺す  // EN: Stabs forward with a water-element knife.
@1B377C ウォータークラブリング  // EN: Water Club Ring
@1B379E 前向きに水属性のこん棒でなぐる  // EN: Strikes forward with a water-element club.
@1B37FC ウォーターソードリング  // EN: Water Sword Ring
@1B381E 前向きに水属性の剣で斬る  // EN: Slashes forward with a water-element sword.
@1B387C ウォーターアックスリング  // EN: Water Axe Ring
@1B389E 前向きに水属性のオノをふりおろす  // EN: Swings down a water-element axe.
@1B38FC ウォーターカタナリング  // EN: Water Katana Ring
@1B391E 前向きに水属性の日本刀で斬る  // EN: Slashes forward with a water-element katana.
@1B397C ファイアナイフリング  // EN: Fire Knife Ring
@1B399E 前向きに火属性のナイフで刺す  // EN: Stabs forward with a fire-element knife.
@1B39FC ファイアクラブリング  // EN: Fire Club Ring
@1B3A1E 前向きに火属性のこん棒でなぐる  // EN: Strikes forward with a fire-element club.
@1B3A7C ファイアソードリング  // EN: Fire Sword Ring
@1B3A9E 前向きに火属性の剣で斬る  // EN: Slashes forward with a fire-element sword.
@1B3AFC ファイアアックスリング  // EN: Fire Axe Ring
@1B3B1E 前向きに火属性のオノをふりおろす  // EN: Swings down a fire-element axe.
@1B3B7C ファイアカタナリング  // EN: Fire Katana Ring
@1B3B9E 前向きに火属性の日本刀で斬る  // EN: Slashes forward with a fire-element katana.
@1B3BFC リーフナイフリング  // EN: Leaf Knife Ring
@1B3C1E 前向きに木属性のナイフで刺す  // EN: Stabs forward with a wood-element knife.
@1B3C7C リーフクラブリング  // EN: Leaf Club Ring
@1B3C9E 前向きに木属性のこん棒でなぐる  // EN: Strikes forward with a wood-element club.
@1B3CFC リーフソードリング  // EN: Leaf Sword Ring
@1B3D1E 前向きに木属性の剣で斬る  // EN: Slashes forward with a wood-element sword.
@1B3D7C リーフアックスリング  // EN: Leaf Axe Ring
@1B3D9E 前向きに木属性のオノをふりおろす  // EN: Swings down a wood-element axe.
@1B3DFC リーフカタナリング  // EN: Leaf Katana Ring
@1B3E1E 前向きに木属性の日本刀で斬る  // EN: Slashes forward with a wood-element katana.
@1B3E7C ウィンドナイフリング  // EN: Wind Knife Ring
@1B3E9E 前向きに風属性のナイフで刺す  // EN: Stabs forward with a wind-element knife.
@1B3EFC ウィンドクラブリング  // EN: Wind Club Ring
@1B3F1E 前向きに風属性のこん棒でなぐる  // EN: Strikes forward with a wind-element club.
@1B3F7C ウィンドソードリング  // EN: Wind Sword Ring
@1B3F9E 前向きに風属性の剣で斬る  // EN: Slashes forward with a wind-element sword.
@1B3FFC ウィンドアックスリング  // EN: Wind Axe Ring
@1B401E 前向きに風属性のオノをふりおろす  // EN: Swings down a wind-element axe.
@1B407C ウィンドカタナリング  // EN: Wind Katana Ring
@1B409E 前向きに風属性の日本刀で斬る  // EN: Slashes forward with a wind-element katana.
@1B40FC アースナイフリング  // EN: Earth Knife Ring
@1B411E 前向きに地属性のナイフで刺す  // EN: Stabs forward with a earth-element knife.
@1B417C アースクラブリング  // EN: Earth Club Ring
@1B419E 前向きに地属性のこん棒でなぐる  // EN: Strikes forward with a earth-element club.
@1B41FC アースソードリング  // EN: Earth Sword Ring
@1B421E 前向きに地属性の剣で斬る  // EN: Slashes forward with a earth-element sword.
@1B427C アースアックスリング  // EN: Earth Axe Ring
@1B429E 前向きに地属性のオノをふりおろす  // EN: Swings down a earth-element axe.
@1B42FC アースカタナリング  // EN: Earth Katana Ring
@1B431E 前向きに地属性の日本刀で斬る  // EN: Slashes forward with a earth-element katana.
@1B437C サンダーナイフリング  // EN: Thunder Knife Ring
@1B439E 前向きに雷属性のナイフで刺す  // EN: Stabs forward with a lightning-element knife.
@1B43FC サンダークラブリング  // EN: Thunder Club Ring
@1B441E 前向きに雷属性のこん棒でなぐる  // EN: Strikes forward with a lightning-element club.
@1B447C サンダーソードリング  // EN: Thunder Sword Ring
@1B449E 前向きに雷属性の剣で斬る  // EN: Slashes forward with a lightning-element sword.
@1B44FC サンダーアックスリング  // EN: Thunder Axe Ring
@1B451E 前向きに雷属性のオノをふりおろす  // EN: Swings down a lightning-element axe.
@1B457C サンダーカタナリング  // EN: Thunder Katana Ring
@1B459E 前向きに雷属性の日本刀で斬る  // EN: Slashes forward with a lightning-element katana.
@1B45FC ウォーターパワー　ＣＬ１  // EN: Water Power CL1
@1B461E 攻撃力を増やして水属性にチェンジ  // EN: Increases attack and changes to the water element.
@1B467C ウォーターパワー　ＣＬ２  // EN: Water Power CL2
@1B469E 攻撃力を増やして水属性にチェンジ  // EN: Increases attack and changes to the water element.
@1B46FC ウォーターパワー　ＣＬ３  // EN: Water Power CL3
@1B471E 攻撃力を増やして水属性にチェンジ  // EN: Increases attack and changes to the water element.
@1B477C ウォーターパワー　ＣＬ４  // EN: Water Power CL4
@1B479E 攻撃力を増やして水属性にチェンジ  // EN: Increases attack and changes to the water element.
@1B47FC ウォーターパワー　ＣＬ５  // EN: Water Power CL5
@1B481E 攻撃力を増やして水属性にチェンジ  // EN: Increases attack and changes to the water element.
@1B487C ファイアパワー　ＣＬ１  // EN: Fire Power CL1
@1B489E 攻撃力を増やして火属性にチェンジ  // EN: Increases attack and changes to the fire element.
@1B48FC ファイアパワー　ＣＬ２  // EN: Fire Power CL2
@1B491E 攻撃力を増やして火属性にチェンジ  // EN: Increases attack and changes to the fire element.
@1B497C ファイアパワー　ＣＬ３  // EN: Fire Power CL3
@1B499E 攻撃力を増やして火属性にチェンジ  // EN: Increases attack and changes to the fire element.
@1B49FC ファイアパワー　ＣＬ４  // EN: Fire Power CL4
@1B4A1E 攻撃力を増やして火属性にチェンジ  // EN: Increases attack and changes to the fire element.
@1B4A7C ファイアパワー　ＣＬ５  // EN: Fire Power CL5
@1B4A9E 攻撃力を増やして火属性にチェンジ  // EN: Increases attack and changes to the fire element.
@1B4AFC リーフパワー　ＣＬ１  // EN: Leaf Power CL1
@1B4B1E 攻撃力を増やして木属性にチェンジ  // EN: Increases attack and changes to the wood element.
@1B4B7C リーフパワー　ＣＬ２  // EN: Leaf Power CL2
@1B4B9E 攻撃力を増やして木属性にチェンジ  // EN: Increases attack and changes to the wood element.
@1B4BFC リーフパワー　ＣＬ３  // EN: Leaf Power CL3
@1B4C1E 攻撃力を増やして木属性にチェンジ  // EN: Increases attack and changes to the wood element.
@1B4C7C リーフパワー　ＣＬ４  // EN: Leaf Power CL4
@1B4C9E 攻撃力を増やして木属性にチェンジ  // EN: Increases attack and changes to the wood element.
@1B4CFC リーフパワー　ＣＬ５  // EN: Leaf Power CL5
@1B4D1E 攻撃力を増やして木属性にチェンジ  // EN: Increases attack and changes to the wood element.
@1B4D7C ウィンドパワー　ＣＬ１  // EN: Wind Power CL1
@1B4D9E 攻撃力を増やして風属性にチェンジ  // EN: Increases attack and changes to the wind element.
@1B4DFC ウィンドパワー　ＣＬ２  // EN: Wind Power CL2
@1B4E1E 攻撃力を増やして風属性にチェンジ  // EN: Increases attack and changes to the wind element.
@1B4E7C ウィンドパワー　ＣＬ３  // EN: Wind Power CL3
@1B4E9E 攻撃力を増やして風属性にチェンジ  // EN: Increases attack and changes to the wind element.
@1B4EFC ウィンドパワー　ＣＬ４  // EN: Wind Power CL4
@1B4F1E 攻撃力を増やして風属性にチェンジ  // EN: Increases attack and changes to the wind element.
@1B4F7C ウィンドパワー　ＣＬ５  // EN: Wind Power CL5
@1B4F9E 攻撃力を増やして風属性にチェンジ  // EN: Increases attack and changes to the wind element.
@1B4FFC アースパワー　ＣＬ１  // EN: Earth Power CL1
@1B501E 攻撃力を増やして地属性にチェンジ  // EN: Increases attack and changes to the earth element.
@1B507C アースパワー　ＣＬ２  // EN: Earth Power CL2
@1B509E 攻撃力を増やして地属性にチェンジ  // EN: Increases attack and changes to the earth element.
@1B50FC アースパワー　ＣＬ３  // EN: Earth Power CL3
@1B511E 攻撃力を増やして地属性にチェンジ  // EN: Increases attack and changes to the earth element.
@1B517C アースパワー　ＣＬ４  // EN: Earth Power CL4
@1B519E 攻撃力を増やして地属性にチェンジ  // EN: Increases attack and changes to the earth element.
@1B51FC アースパワー　ＣＬ５  // EN: Earth Power CL5
@1B521E 攻撃力を増やして地属性にチェンジ  // EN: Increases attack and changes to the earth element.
@1B527C サンダーパワー　ＣＬ１  // EN: Thunder Power CL1
@1B529E 攻撃力を増やして雷属性にチェンジ  // EN: Increases attack and changes to the lightning element.
@1B52FC サンダーパワー　ＣＬ２  // EN: Thunder Power CL2
@1B531E 攻撃力を増やして雷属性にチェンジ  // EN: Increases attack and changes to the lightning element.
@1B537C サンダーパワー　ＣＬ３  // EN: Thunder Power CL3
@1B539E 攻撃力を増やして雷属性にチェンジ  // EN: Increases attack and changes to the lightning element.
@1B53FC サンダーパワー　ＣＬ４  // EN: Thunder Power CL4
@1B541E 攻撃力を増やして雷属性にチェンジ  // EN: Increases attack and changes to the lightning element.
@1B547C サンダーパワー　ＣＬ５  // EN: Thunder Power CL5
@1B549E 攻撃力を増やして雷属性にチェンジ  // EN: Increases attack and changes to the lightning element.
@1B54FC ウォーターコート　ＣＬ１  // EN: Water Coat CL1
@1B551E 防御力を高めて水属性にチェンジ  // EN: Increases defense and changes to the water element.
@1B557C ウォーターコート　ＣＬ２  // EN: Water Coat CL2
@1B559E 防御力を高めて水属性にチェンジ  // EN: Increases defense and changes to the water element.
@1B55FC ウォーターコート　ＣＬ３  // EN: Water Coat CL3
@1B561E 防御力を高めて水属性にチェンジ  // EN: Increases defense and changes to the water element.
@1B567C ウォーターコート　ＣＬ４  // EN: Water Coat CL4
@1B569E 防御力を高めて水属性にチェンジ  // EN: Increases defense and changes to the water element.
@1B56FC ウォーターコート　ＣＬ５  // EN: Water Coat CL5
@1B571E 防御力を高めて水属性にチェンジ  // EN: Increases defense and changes to the water element.
@1B577C ファイアコート　ＣＬ１  // EN: Fire Coat CL1
@1B579E 防御力を高めて火属性にチェンジ  // EN: Increases defense and changes to the fire element.
@1B57FC ファイアコート　ＣＬ２  // EN: Fire Coat CL2
@1B581E 防御力を高めて火属性にチェンジ  // EN: Increases defense and changes to the fire element.
@1B587C ファイアコート　ＣＬ３  // EN: Fire Coat CL3
@1B589E 防御力を高めて火属性にチェンジ  // EN: Increases defense and changes to the fire element.
@1B58FC ファイアコート　ＣＬ４  // EN: Fire Coat CL4
@1B591E 防御力を高めて火属性にチェンジ  // EN: Increases defense and changes to the fire element.
@1B597C ファイアコート　ＣＬ５  // EN: Fire Coat CL5
@1B599E 防御力を高めて火属性にチェンジ  // EN: Increases defense and changes to the fire element.
@1B59FC リーフコート　ＣＬ１  // EN: Leaf Coat CL1
@1B5A1E 防御力を高めて木属性にチェンジ  // EN: Increases defense and changes to the wood element.
@1B5A7C リーフコート　ＣＬ２  // EN: Leaf Coat CL2
@1B5A9E 防御力を高めて木属性にチェンジ  // EN: Increases defense and changes to the wood element.
@1B5AFC リーフコート　ＣＬ３  // EN: Leaf Coat CL3
@1B5B1E 防御力を高めて木属性にチェンジ  // EN: Increases defense and changes to the wood element.
@1B5B7C リーフコート　ＣＬ４  // EN: Leaf Coat CL4
@1B5B9E 防御力を高めて木属性にチェンジ  // EN: Increases defense and changes to the wood element.
@1B5BFC リーフコート　ＣＬ５  // EN: Leaf Coat CL5
@1B5C1E 防御力を高めて木属性にチェンジ  // EN: Increases defense and changes to the wood element.
@1B5C7C ウィンドコート　ＣＬ１  // EN: Wind Coat CL1
@1B5C9E 防御力を高めて風属性にチェンジ  // EN: Increases defense and changes to the wind element.
@1B5CFC ウィンドコート　ＣＬ２  // EN: Wind Coat CL2
@1B5D1E 防御力を高めて風属性にチェンジ  // EN: Increases defense and changes to the wind element.
@1B5D7C ウィンドコート　ＣＬ３  // EN: Wind Coat CL3
@1B5D9E 防御力を高めて風属性にチェンジ  // EN: Increases defense and changes to the wind element.
@1B5DFC ウィンドコート　ＣＬ４  // EN: Wind Coat CL4
@1B5E1E 防御力を高めて風属性にチェンジ  // EN: Increases defense and changes to the wind element.
@1B5E7C ウィンドコート　ＣＬ５  // EN: Wind Coat CL5
@1B5E9E 防御力を高めて風属性にチェンジ  // EN: Increases defense and changes to the wind element.
@1B5EFC アースコート　ＣＬ１  // EN: Earth Coat CL1
@1B5F1E 防御力を高めて地属性にチェンジ  // EN: Increases defense and changes to the earth element.
@1B5F7C アースコート　ＣＬ２  // EN: Earth Coat CL2
@1B5F9E 防御力を高めて地属性にチェンジ  // EN: Increases defense and changes to the earth element.
@1B5FFC アースコート　ＣＬ３  // EN: Earth Coat CL3
@1B601E 防御力を高めて地属性にチェンジ  // EN: Increases defense and changes to the earth element.
@1B607C アースコート　ＣＬ４  // EN: Earth Coat CL4
@1B609E 防御力を高めて地属性にチェンジ  // EN: Increases defense and changes to the earth element.
@1B60FC アースコート　ＣＬ５  // EN: Earth Coat CL5
@1B611E 防御力を高めて地属性にチェンジ  // EN: Increases defense and changes to the earth element.
@1B617C サンダーコート　ＣＬ１  // EN: Thunder Coat CL1
@1B619E 防御力を高めて雷属性にチェンジ  // EN: Increases defense and changes to the lightning element.
@1B61FC サンダーコート　ＣＬ２  // EN: Thunder Coat CL2
@1B621E 防御力を高めて雷属性にチェンジ  // EN: Increases defense and changes to the lightning element.
@1B627C サンダーコート　ＣＬ３  // EN: Thunder Coat CL3
@1B629E 防御力を高めて雷属性にチェンジ  // EN: Increases defense and changes to the lightning element.
@1B62FC サンダーコート　ＣＬ４  // EN: Thunder Coat CL4
@1B631E 防御力を高めて雷属性にチェンジ  // EN: Increases defense and changes to the lightning element.
@1B637C サンダーコート　ＣＬ５  // EN: Thunder Coat CL5
@1B639E 防御力を高めて雷属性にチェンジ  // EN: Increases defense and changes to the lightning element.
@1B63FC エスケイプ　ＣＬ２  // EN: Escape CL2
@1B641E うまくいけば戦闘から逃げられる  // EN: May let you escape from battle.
@1B647C エスケイプ　ＣＬ３  // EN: Escape CL3
@1B649E 戦闘から高い確率で逃げられる  // EN: High chance of escaping from battle.
@1B64FC エスケイプ　ＣＬ４  // EN: Escape CL4
@1B651E ほぼ確実に戦闘から逃げられる  // EN: Almost certain escape from battle.
@1B657C 天使の口づけ  // EN: Angel's Kiss
@1B659E ダークネス効果を消し去る  // EN: Removes Darkness effects.
@1B65FC フェニックス  // EN: Phoenix
@1B661E 体力が０になると自動的に回復する  // EN: Automatically restores HP when it reaches zero.
@1B667C スリーピーリング　ＣＬ１  // EN: Sleepy Ring CL1
@1B669E 敵を少し眠らせる  // EN: Briefly puts the enemy to sleep.
@1B66FC スリーピーリング　ＣＬ２  // EN: Sleepy Ring CL2
@1B671E 敵を眠らせる  // EN: Puts the enemy to sleep.
@1B677C スリーピーリング　ＣＬ３  // EN: Sleepy Ring CL3
@1B679E 敵を熟睡させる  // EN: Puts the enemy into a deep sleep.
@1B67FC スリーピーリング　ＣＬ４  // EN: Sleepy Ring CL4
@1B681E 敵を長い時間眠らせる  // EN: Puts the enemy to sleep for a long time.
@1B687C スリーピーリング　ＣＬ５  // EN: Sleepy Ring CL5
@1B689E 敵をかなり長時間眠らせる  // EN: Puts the enemy to sleep for a very long time.
@1B68FC アームフリーズ　ＣＬ１  // EN: ÄRM Freeze CL1
