engine_code	glyph_index	NFT_byte_offset
00CD	02AD	0015C8
00CE	02AE	0015D0
00CF	02AF	0015D8
00D0	02B0	0015E0
00D1	02B1	0015E8
00D2	02B2	0015F0
00D3	02B3	0015F8
00D4	02B4	001600
00D5	02B5	001608
00D6	02B6	001610
00D7	02B7	001618
00D8	02B8	001620
00D9	02B9	001628
00DA	02BA	001630
00DB	02BB	001638
00DC	02BC	001640
00DD	02BD	001648
00DE	02BE	001650
00DF	02BF	001658
00E0	02C0	001660
00E1	02C1	001668
00E2	02C2	001670
00E3	02C3	001678
00E4	02C4	001680
00E5	02C5	001688
00E6	02C6	001690
00E7	02C7	001698
00E8	02C8	0016A0
00E9	02C9	0016A8
00EA	02CA	0016B0
00EB	02CB	0016B8
00EC	02CC	0016C0
00ED	02CD	0016C8
00EE	02CE	0016D0
00EF	02CF	0016D8
00F0	02D0	0016E0
00F1	02D1	0016E8
00F2	02D2	0016F0
00F3	02D3	0016F8
00F4	02D4	001700
00F5	02D5	001708
00F6	02D6	001710
00F7	02D7	001718
00F8	02D8	001720
00F9	02D9	001728
00FA	02DA	001730
00FB	02DB	001738
00FC	02DC	001740
00FD	02DD	001748
00FE	02DE	001750
00FF	02DF	001758
0100	FFFF	unsupported
0101	FFFF	unsupported
0102	FFFF	unsupported
0103	FFFF	unsupported
0104	FFFF	unsupported
0105	FFFF	unsupported
0106	FFFF	unsupported
0107	FFFF	unsupported
0108	FFFF	unsupported
0109	FFFF	unsupported
010A	FFFF	unsupported
010B	FFFF	unsupported
010C	FFFF	unsupported
010D	FFFF	unsupported
010E	FFFF	unsupported
010F	FFFF	unsupported
0110	FFFF	unsupported
0111	FFFF	unsupported
0112	FFFF	unsupported
0113	FFFF	unsupported
0114	FFFF	unsupported
0115	FFFF	unsupported
0116	FFFF	unsupported
0117	FFFF	unsupported
0118	FFFF	unsupported
0119	FFFF	unsupported
011A	FFFF	unsupported
011B	FFFF	unsupported
011C	FFFF	unsupported
011D	FFFF	unsupported
011E	FFFF	unsupported
011F	FFFF	unsupported
0120	FFFF	unsupported
0121	FFFF	unsupported
0122	FFFF	unsupported
0123	FFFF	unsupported
0124	FFFF	unsupported
0125	FFFF	unsupported
0126	FFFF	unsupported
0127	FFFF	unsupported
0128	FFFF	unsupported
0129	FFFF	unsupported
012A	FFFF	unsupported
012B	FFFF	unsupported
012C	FFFF	unsupported
012D	FFFF	unsupported
012E	FFFF	unsupported
012F	FFFF	unsupported
0130	FFFF	unsupported
0131	FFFF	unsupported
0132	FFFF	unsupported
0133	FFFF	unsupported
0134	FFFF	unsupported
0135	FFFF	unsupported
0136	FFFF	unsupported
0137	FFFF	unsupported
0138	FFFF	unsupported
0139	FFFF	unsupported
013A	FFFF	unsupported
013B	FFFF	unsupported
013C	FFFF	unsupported
013D	FFFF	unsupported
013E	FFFF	unsupported
013F	FFFF	unsupported
0140	FFFF	unsupported
0141	FFFF	unsupported
0142	FFFF	unsupported
0143	FFFF	unsupported
0144	FFFF	unsupported
0145	FFFF	unsupported
0146	FFFF	unsupported
0147	FFFF	unsupported
0148	FFFF	unsupported
0149	FFFF	unsupported
014A	FFFF	unsupported
014B	FFFF	unsupported
014C	FFFF	unsupported
014D	FFFF	unsupported
014E	FFFF	unsupported
014F	FFFF	unsupported
0150	FFFF	unsupported
0151	FFFF	unsupported
0152	FFFF	unsupported
0153	FFFF	unsupported
0154	FFFF	unsupported
0155	FFFF	unsupported
0156	FFFF	unsupported
0157	FFFF	unsupported
0158	FFFF	unsupported
0159	FFFF	unsupported
015A	FFFF	unsupported
015B	FFFF	unsupported
015C	FFFF	unsupported
015D	FFFF	unsupported
015E	FFFF	unsupported
015F	FFFF	unsupported
0160	FFFF	unsupported
0161	FFFF	unsupported
0162	FFFF	unsupported
0163	FFFF	unsupported
0164	FFFF	unsupported
0165	FFFF	unsupported
0166	FFFF	unsupported
0167	FFFF	unsupported
0168	FFFF	unsupported
0169	FFFF	unsupported
016A	FFFF	unsupported
016B	FFFF	unsupported
016C	FFFF	unsupported
016D	FFFF	unsupported
016E	FFFF	unsupported
016F	FFFF	unsupported
0170	FFFF	unsupported
0171	FFFF	unsupported
0172	FFFF	unsupported
0173	FFFF	unsupported
0174	FFFF	unsupported
0175	FFFF	unsupported
0176	FFFF	unsupported
0177	FFFF	unsupported
0178	FFFF	unsupported
0179	FFFF	unsupported
017A	FFFF	unsupported
017B	FFFF	unsupported
017C	FFFF	unsupported
017D	FFFF	unsupported
017E	FFFF	unsupported
017F	FFFF	unsupported
0180	FFFF	unsupported
0181	FFFF	unsupported
0182	FFFF	unsupported
0183	FFFF	unsupported
0184	FFFF	unsupported
0185	FFFF	unsupported
0186	FFFF	unsupported
0187	FFFF	unsupported
0188	FFFF	unsupported
0189	FFFF	unsupported
018A	FFFF	unsupported
018B	FFFF	unsupported
018C	FFFF	unsupported
018D	FFFF	unsupported
018E	FFFF	unsupported
018F	FFFF	unsupported
0190	FFFF	unsupported
0191	FFFF	unsupported
0192	FFFF	unsupported
0193	FFFF	unsupported
0194	FFFF	unsupported
0195	FFFF	unsupported
0196	FFFF	unsupported
0197	FFFF	unsupported
0198	FFFF	unsupported
0199	FFFF	unsupported
019A	FFFF	unsupported
019B	FFFF	unsupported
019C	FFFF	unsupported
019D	FFFF	unsupported
019E	FFFF	unsupported
019F	FFFF	unsupported
01A0	FFFF	unsupported
01A1	FFFF	unsupported
01A2	FFFF	unsupported
01A3	FFFF	unsupported
01A4	FFFF	unsupported
01A5	FFFF	unsupported
01A6	FFFF	unsupported
01A7	FFFF	unsupported
01A8	FFFF	unsupported
01A9	FFFF	unsupported
01AA	FFFF	unsupported
01AB	FFFF	unsupported
01AC	FFFF	unsupported
01AD	FFFF	unsupported
01AE	FFFF	unsupported
01AF	FFFF	unsupported
01B0	FFFF	unsupported
01B1	FFFF	unsupported
01B2	FFFF	unsupported
01B3	FFFF	unsupported
01B4	FFFF	unsupported
01B5	FFFF	unsupported
01B6	FFFF	unsupported
01B7	FFFF	unsupported
01B8	FFFF	unsupported
01B9	FFFF	unsupported
01BA	FFFF	unsupported
01BB	FFFF	unsupported
01BC	FFFF	unsupported
01BD	FFFF	unsupported
01BE	FFFF	unsupported
01BF	FFFF	unsupported
01C0	FFFF	unsupported
01C1	FFFF	unsupported
01C2	FFFF	unsupported
01C3	FFFF	unsupported
01C4	FFFF	unsupported
01C5	FFFF	unsupported
01C6	FFFF	unsupported
01C7	FFFF	unsupported
01C8	FFFF	unsupported
01C9	FFFF	unsupported
01CA	FFFF	unsupported
01CB	FFFF	unsupported
01CC	FFFF	unsupported
01CD	FFFF	unsupported
01CE	FFFF	unsupported
01CF	FFFF	unsupported
01D0	FFFF	unsupported
01D1	FFFF	unsupported
01D2	FFFF	unsupported
01D3	FFFF	unsupported
01D4	FFFF	unsupported
01D5	FFFF	unsupported
01D6	FFFF	unsupported
01D7	FFFF	unsupported
01D8	FFFF	unsupported
01D9	FFFF	unsupported
01DA	FFFF	unsupported
01DB	FFFF	unsupported
01DC	FFFF	unsupported
01DD	FFFF	unsupported
01DE	FFFF	unsupported
01DF	FFFF	unsupported
01E0	FFFF	unsupported
01E1	FFFF	unsupported
01E2	FFFF	unsupported
01E3	FFFF	unsupported
01E4	FFFF	unsupported
01E5	FFFF	unsupported
01E6	FFFF	unsupported
01E7	FFFF	unsupported
01E8	FFFF	unsupported
01E9	FFFF	unsupported
01EA	FFFF	unsupported
01EB	FFFF	unsupported
01EC	FFFF	unsupported
01ED	FFFF	unsupported
01EE	FFFF	unsupported
01EF	FFFF	unsupported
01F0	FFFF	unsupported
01F1	FFFF	unsupported
01F2	FFFF	unsupported
01F3	FFFF	unsupported
01F4	FFFF	unsupported
01F5	FFFF	unsupported
01F6	FFFF	unsupported
01F7	FFFF	unsupported
01F8	FFFF	unsupported
01F9	FFFF	unsupported
01FA	FFFF	unsupported
01FB	FFFF	unsupported
01FC	FFFF	unsupported
01FD	FFFF	unsupported
01FE	FFFF	unsupported
01FF	FFFF	unsupported
0200	FFFF	unsupported
0201	FFFF	unsupported
0202	FFFF	unsupported
0203	FFFF	unsupported
0204	FFFF	unsupported
0205	FFFF	unsupported
0206	FFFF	unsupported
0207	FFFF	unsupported
0208	FFFF	unsupported
0209	FFFF	unsupported
020A	FFFF	unsupported
020B	FFFF	unsupported
020C	FFFF	unsupported
020D	FFFF	unsupported
020E	FFFF	unsupported
020F	FFFF	unsupported
0210	FFFF	unsupported
0211	FFFF	unsupported
0212	FFFF	unsupported
0213	FFFF	unsupported
0214	FFFF	unsupported
0215	FFFF	unsupported
0216	FFFF	unsupported
0217	FFFF	unsupported
0218	FFFF	unsupported
0219	FFFF	unsupported
021A	FFFF	unsupported
021B	FFFF	unsupported
021C	FFFF	unsupported
021D	FFFF	unsupported
021E	FFFF	unsupported
021F	FFFF	unsupported
0220	FFFF	unsupported
0221	FFFF	unsupported
0222	FFFF	unsupported
0223	FFFF	unsupported
0224	FFFF	unsupported
0225	FFFF	unsupported
0226	FFFF	unsupported
0227	FFFF	unsupported
0228	FFFF	unsupported
0229	FFFF	unsupported
022A	FFFF	unsupported
022B	FFFF	unsupported
022C	FFFF	unsupported
022D	FFFF	unsupported
022E	FFFF	unsupported
022F	FFFF	unsupported
0230	FFFF	unsupported
0231	FFFF	unsupported
0232	FFFF	unsupported
0233	FFFF	unsupported
0234	FFFF	unsupported
0235	FFFF	unsupported
0236	FFFF	unsupported
0237	FFFF	unsupported
0238	FFFF	unsupported
0239	FFFF	unsupported
023A	FFFF	unsupported
023B	FFFF	unsupported
023C	FFFF	unsupported
023D	FFFF	unsupported
023E	FFFF	unsupported
023F	FFFF	unsupported
0240	FFFF	unsupported
0241	FFFF	unsupported
0242	FFFF	unsupported
0243	FFFF	unsupported
0244	FFFF	unsupported
0245	FFFF	unsupported
0246	FFFF	unsupported
0247	FFFF	unsupported
0248	FFFF	unsupported
0249	FFFF	unsupported
024A	FFFF	unsupported
024B	FFFF	unsupported
024C	FFFF	unsupported
024D	FFFF	unsupported
024E	FFFF	unsupported
024F	FFFF	unsupported
0250	FFFF	unsupported
0251	FFFF	unsupported
0252	FFFF	unsupported
0253	FFFF	unsupported
0254	FFFF	unsupported
0255	FFFF	unsupported
0256	FFFF	unsupported
0257	FFFF	unsupported
0258	FFFF	unsupported
0259	FFFF	unsupported
025A	FFFF	unsupported
025B	FFFF	unsupported
025C	FFFF	unsupported
025D	FFFF	unsupported
025E	FFFF	unsupported
025F	FFFF	unsupported
0260	FFFF	unsupported
0261	FFFF	unsupported
0262	FFFF	unsupported
0263	FFFF	unsupported
0264	FFFF	unsupported
0265	FFFF	unsupported
0266	FFFF	unsupported
0267	FFFF	unsupported
0268	FFFF	unsupported
0269	FFFF	unsupported
026A	FFFF	unsupported
026B	FFFF	unsupported
026C	FFFF	unsupported
026D	FFFF	unsupported
026E	FFFF	unsupported
026F	FFFF	unsupported
0270	FFFF	unsupported
0271	FFFF	unsupported
0272	FFFF	unsupported
0273	FFFF	unsupported
0274	FFFF	unsupported
0275	FFFF	unsupported
0276	FFFF	unsupported
0277	FFFF	unsupported
0278	FFFF	unsupported
0279	FFFF	unsupported
027A	FFFF	unsupported
027B	FFFF	unsupported
027C	FFFF	unsupported
027D	FFFF	unsupported
027E	FFFF	unsupported
027F	FFFF	unsupported
0280	FFFF	unsupported
0281	FFFF	unsupported
0282	FFFF	unsupported
0283	FFFF	unsupported
0284	FFFF	unsupported
0285	FFFF	unsupported
0286	FFFF	unsupported
0287	FFFF	unsupported
0288	FFFF	unsupported
0289	FFFF	unsupported
028A	FFFF	unsupported
028B	FFFF	unsupported
028C	FFFF	unsupported
028D	FFFF	unsupported
028E	FFFF	unsupported
028F	FFFF	unsupported
0290	FFFF	unsupported
0291	FFFF	unsupported
0292	FFFF	unsupported
0293	FFFF	unsupported
0294	FFFF	unsupported
0295	FFFF	unsupported
0296	FFFF	unsupported
0297	FFFF	unsupported
0298	FFFF	unsupported
0299	FFFF	unsupported
029A	FFFF	unsupported
029B	FFFF	unsupported
029C	FFFF	unsupported
029D	FFFF	unsupported
029E	FFFF	unsupported
029F	FFFF	unsupported
02A0	FFFF	unsupported
02A1	FFFF	unsupported
02A2	FFFF	unsupported
02A3	FFFF	unsupported
02A4	FFFF	unsupported
02A5	FFFF	unsupported
02A6	FFFF	unsupported
02A7	FFFF	unsupported
02A8	FFFF	unsupported
02A9	FFFF	unsupported
02AA	FFFF	unsupported
02AB	FFFF	unsupported
02AC	FFFF	unsupported
02AD	FFFF	unsupported
02AE	FFFF	unsupported
02AF	FFFF	unsupported
02B0	FFFF	unsupported
02B1	FFFF	unsupported
02B2	FFFF	unsupported
02B3	FFFF	unsupported
02B4	FFFF	unsupported
02B5	FFFF	unsupported
02B6	FFFF	unsupported
02B7	FFFF	unsupported
02B8	FFFF	unsupported
02B9	FFFF	unsupported
02BA	FFFF	unsupported
02BB	FFFF	unsupported
02BC	FFFF	unsupported
02BD	FFFF	unsupported
02BE	FFFF	unsupported
02BF	FFFF	unsupported
02C0	FFFF	unsupported
02C1	FFFF	unsupported
02C2	FFFF	unsupported
02C3	FFFF	unsupported
02C4	FFFF	unsupported
02C5	FFFF	unsupported
02C6	FFFF	unsupported
02C7	FFFF	unsupported
02C8	FFFF	unsupported
02C9	FFFF	unsupported
02CA	FFFF	unsupported
02CB	FFFF	unsupported
02CC	FFFF	unsupported
02CD	FFFF	unsupported
02CE	FFFF	unsupported
02CF	FFFF	unsupported
02D0	FFFF	unsupported
02D1	FFFF	unsupported
02D2	FFFF	unsupported
02D3	FFFF	unsupported
02D4	FFFF	unsupported
02D5	FFFF	unsupported
02D6	FFFF	unsupported
02D7	FFFF	unsupported
02D8	FFFF	unsupported
02D9	FFFF	unsupported
02DA	FFFF	unsupported
02DB	FFFF	unsupported
02DC	FFFF	unsupported
02DD	FFFF	unsupported
02DE	FFFF	unsupported
02DF	FFFF	unsupported
02E0	FFFF	unsupported
02E1	FFFF	unsupported
02E2	FFFF	unsupported
02E3	FFFF	unsupported
02E4	FFFF	unsupported
02E5	FFFF	unsupported
02E6	FFFF	unsupported
02E7	FFFF	unsupported
02E8	FFFF	unsupported
02E9	FFFF	unsupported
02EA	FFFF	unsupported
02EB	FFFF	unsupported
02EC	FFFF	unsupported
02ED	FFFF	unsupported
02EE	FFFF	unsupported
02EF	FFFF	unsupported
02F0	FFFF	unsupported
02F1	FFFF	unsupported
02F2	FFFF	unsupported
02F3	FFFF	unsupported
02F4	FFFF	unsupported
02F5	FFFF	unsupported
02F6	FFFF	unsupported
02F7	FFFF	unsupported
02F8	FFFF	unsupported
02F9	FFFF	unsupported
02FA	FFFF	unsupported
02FB	FFFF	unsupported
02FC	FFFF	unsupported
02FD	FFFF	unsupported
02FE	FFFF	unsupported
02FF	FFFF	unsupported
0300	FFFF	unsupported
0301	FFFF	unsupported
0302	FFFF	unsupported
0303	FFFF	unsupported
0304	FFFF	unsupported
0305	FFFF	unsupported
0306	FFFF	unsupported
0307	FFFF	unsupported
0308	FFFF	unsupported
0309	FFFF	unsupported
030A	FFFF	unsupported
030B	FFFF	unsupported
030C	FFFF	unsupported
030D	FFFF	unsupported
030E	FFFF	unsupported
030F	FFFF	unsupported
0310	FFFF	unsupported
0311	FFFF	unsupported
0312	FFFF	unsupported
0313	FFFF	unsupported
0314	FFFF	unsupported
0315	FFFF	unsupported
0316	FFFF	unsupported
0317	FFFF	unsupported
0318	FFFF	unsupported
0319	FFFF	unsupported
031A	FFFF	unsupported
031B	FFFF	unsupported
031C	FFFF	unsupported
031D	FFFF	unsupported
031E	FFFF	unsupported
031F	FFFF	unsupported
0320	FFFF	unsupported
0321	FFFF	unsupported
0322	FFFF	unsupported
0323	FFFF	unsupported
0324	FFFF	unsupported
0325	FFFF	unsupported
0326	FFFF	unsupported
0327	FFFF	unsupported
0328	FFFF	unsupported
0329	FFFF	unsupported
032A	FFFF	unsupported
032B	FFFF	unsupported
032C	FFFF	unsupported
032D	FFFF	unsupported
032E	FFFF	unsupported
032F	FFFF	unsupported
0330	FFFF	unsupported
0331	FFFF	unsupported
0332	FFFF	unsupported
0333	FFFF	unsupported
0334	FFFF	unsupported
0335	FFFF	unsupported
0336	FFFF	unsupported
0337	FFFF	unsupported
0338	FFFF	unsupported
0339	FFFF	unsupported
033A	FFFF	unsupported
033B	FFFF	unsupported
033C	FFFF	unsupported
033D	FFFF	unsupported
033E	FFFF	unsupported
033F	FFFF	unsupported
0340	FFFF	unsupported
0341	FFFF	unsupported
0342	FFFF	unsupported
0343	FFFF	unsupported
0344	FFFF	unsupported
0345	FFFF	unsupported
0346	FFFF	unsupported
0347	FFFF	unsupported
0348	FFFF	unsupported
0349	FFFF	unsupported
034A	FFFF	unsupported
034B	FFFF	unsupported
034C	FFFF	unsupported
034D	FFFF	unsupported
034E	FFFF	unsupported
034F	FFFF	unsupported
0350	FFFF	unsupported
0351	FFFF	unsupported
0352	FFFF	unsupported
0353	FFFF	unsupported
0354	FFFF	unsupported
0355	FFFF	unsupported
0356	FFFF	unsupported
0357	FFFF	unsupported
0358	FFFF	unsupported
0359	FFFF	unsupported
035A	FFFF	unsupported
035B	FFFF	unsupported
035C	FFFF	unsupported
035D	FFFF	unsupported
035E	FFFF	unsupported
035F	FFFF	unsupported
0360	FFFF	unsupported
0361	FFFF	unsupported
0362	FFFF	unsupported
0363	FFFF	unsupported
0364	FFFF	unsupported
0365	FFFF	unsupported
0366	FFFF	unsupported
0367	FFFF	unsupported
0368	FFFF	unsupported
0369	FFFF	unsupported
036A	FFFF	unsupported
036B	FFFF	unsupported
036C	FFFF	unsupported
036D	FFFF	unsupported
036E	FFFF	unsupported
036F	FFFF	unsupported
0370	FFFF	unsupported
0371	FFFF	unsupported
0372	FFFF	unsupported
0373	FFFF	unsupported
0374	FFFF	unsupported
0375	FFFF	unsupported
0376	FFFF	unsupported
0377	FFFF	unsupported
0378	FFFF	unsupported
0379	FFFF	unsupported
037A	FFFF	unsupported
037B	FFFF	unsupported
037C	FFFF	unsupported
037D	FFFF	unsupported
037E	FFFF	unsupported
037F	FFFF	unsupported
0380	FFFF	unsupported
0381	FFFF	unsupported
0382	FFFF	unsupported
0383	FFFF	unsupported
0384	FFFF	unsupported
0385	FFFF	unsupported
0386	FFFF	unsupported
0387	FFFF	unsupported
0388	FFFF	unsupported
0389	FFFF	unsupported
038A	FFFF	unsupported
038B	FFFF	unsupported
038C	FFFF	unsupported
038D	FFFF	unsupported
038E	FFFF	unsupported
038F	FFFF	unsupported
0390	FFFF	unsupported
0391	FFFF	unsupported
0392	FFFF	unsupported
0393	FFFF	unsupported
0394	FFFF	unsupported
0395	FFFF	unsupported
0396	FFFF	unsupported
0397	FFFF	unsupported
0398	FFFF	unsupported
0399	FFFF	unsupported
039A	FFFF	unsupported
039B	FFFF	unsupported
039C	FFFF	unsupported
039D	FFFF	unsupported
039E	FFFF	unsupported
039F	FFFF	unsupported
03A0	FFFF	unsupported
03A1	FFFF	unsupported
03A2	FFFF	unsupported
03A3	FFFF	unsupported
03A4	FFFF	unsupported
03A5	FFFF	unsupported
03A6	FFFF	unsupported
03A7	FFFF	unsupported
03A8	FFFF	unsupported
03A9	FFFF	unsupported
03AA	FFFF	unsupported
03AB	FFFF	unsupported
03AC	FFFF	unsupported
03AD	FFFF	unsupported
03AE	FFFF	unsupported
03AF	FFFF	unsupported
03B0	FFFF	unsupported
03B1	FFFF	unsupported
03B2	FFFF	unsupported
03B3	FFFF	unsupported
03B4	FFFF	unsupported
03B5	FFFF	unsupported
03B6	FFFF	unsupported
03B7	FFFF	unsupported
03B8	FFFF	unsupported
03B9	FFFF	unsupported
03BA	FFFF	unsupported
03BB	FFFF	unsupported
03BC	FFFF	unsupported
03BD	FFFF	unsupported
03BE	FFFF	unsupported
03BF	FFFF	unsupported
03C0	FFFF	unsupported
03C1	FFFF	unsupported
03C2	FFFF	unsupported
03C3	FFFF	unsupported
03C4	FFFF	unsupported
03C5	FFFF	unsupported
03C6	FFFF	unsupported
03C7	FFFF	unsupported
03C8	FFFF	unsupported
03C9	FFFF	unsupported
03CA	FFFF	unsupported
03CB	FFFF	unsupported
03CC	FFFF	unsupported
03CD	FFFF	unsupported
03CE	FFFF	unsupported
03CF	FFFF	unsupported
03D0	FFFF	unsupported
03D1	FFFF	unsupported
03D2	FFFF	unsupported
03D3	FFFF	unsupported
03D4	FFFF	unsupported
03D5	FFFF	unsupported
03D6	FFFF	unsupported
03D7	FFFF	unsupported
03D8	FFFF	unsupported
03D9	FFFF	unsupported
03DA	FFFF	unsupported
03DB	FFFF	unsupported
03DC	FFFF	unsupported
03DD	FFFF	unsupported
03DE	FFFF	unsupported
03DF	FFFF	unsupported
03E0	FFFF	unsupported
03E1	FFFF	unsupported
03E2	FFFF	unsupported
03E3	FFFF	unsupported
03E4	FFFF	unsupported
03E5	FFFF	unsupported
03E6	FFFF	unsupported
03E7	FFFF	unsupported
03E8	FFFF	unsupported
03E9	FFFF	unsupported
03EA	FFFF	unsupported
03EB	FFFF	unsupported
03EC	FFFF	unsupported
03ED	FFFF	unsupported
03EE	FFFF	unsupported
03EF	FFFF	unsupported
03F0	FFFF	unsupported
03F1	FFFF	unsupported
03F2	FFFF	unsupported
03F3	FFFF	unsupported
03F4	FFFF	unsupported
03F5	FFFF	unsupported
03F6	FFFF	unsupported
03F7	FFFF	unsupported
03F8	FFFF	unsupported
03F9	FFFF	unsupported
03FA	FFFF	unsupported
03FB	FFFF	unsupported
03FC	FFFF	unsupported
03FD	FFFF	unsupported
03FE	FFFF	unsupported
03FF	FFFF	unsupported
0400	FFFF	unsupported
0401	FFFF	unsupported
0402	FFFF	unsupported
0403	FFFF	unsupported
0404	FFFF	unsupported
0405	FFFF	unsupported
0406	FFFF	unsupported
0407	FFFF	unsupported
0408	FFFF	unsupported
0409	FFFF	unsupported
040A	FFFF	unsupported
040B	FFFF	unsupported
040C	FFFF	unsupported
040D	FFFF	unsupported
040E	FFFF	unsupported
040F	FFFF	unsupported
0410	FFFF	unsupported
0411	FFFF	unsupported
0412	FFFF	unsupported
0413	FFFF	unsupported
0414	FFFF	unsupported
0415	FFFF	unsupported
0416	FFFF	unsupported
0417	FFFF	unsupported
0418	FFFF	unsupported
0419	FFFF	unsupported
041A	FFFF	unsupported
041B	FFFF	unsupported
041C	FFFF	unsupported
041D	FFFF	unsupported
041E	FFFF	unsupported
041F	FFFF	unsupported
0420	FFFF	unsupported
0421	FFFF	unsupported
0422	FFFF	unsupported
0423	FFFF	unsupported
0424	FFFF	unsupported
0425	FFFF	unsupported
0426	FFFF	unsupported
0427	FFFF	unsupported
0428	FFFF	unsupported
0429	FFFF	unsupported
042A	FFFF	unsupported
042B	FFFF	unsupported
042C	FFFF	unsupported
042D	FFFF	unsupported
042E	FFFF	unsupported
042F	FFFF	unsupported
0430	FFFF	unsupported
0431	FFFF	unsupported
0432	FFFF	unsupported
0433	FFFF	unsupported
0434	FFFF	unsupported
0435	FFFF	unsupported
0436	FFFF	unsupported
0437	FFFF	unsupported
0438	FFFF	unsupported
0439	FFFF	unsupported
043A	FFFF	unsupported
043B	FFFF	unsupported
043C	FFFF	unsupported
043D	FFFF	unsupported
043E	FFFF	unsupported
043F	FFFF	unsupported
0440	FFFF	unsupported
0441	FFFF	unsupported
0442	FFFF	unsupported
0443	FFFF	unsupported
0444	FFFF	unsupported
0445	FFFF	unsupported
0446	FFFF	unsupported
0447	FFFF	unsupported
0448	FFFF	unsupported
0449	FFFF	unsupported
044A	FFFF	unsupported
044B	FFFF	unsupported
